name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,119311.484,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,32619.318,3119.7043,36.521347,16.351604,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,811191040.0,119978584.0,2831839500.0,9008925000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,478.2624,126924.36,21682.848,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,122206.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11787.028,0.0,0.0,31156.754,0.0,42.293526,65.190475,0.0
FROM_main_terrace,0,0,0.0,883.4121,0.0,263.92575,0.0,6506.9194,67637.94,6235.2666,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.8307,0.0,44.890747,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.3348582,1773.0261,12.8651495,0.0,936.3318,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,75.75438,436.52893,0.0,7539.09,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.5623,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,327853.8,149005.28,811360500.0,120062190.0,2831848000.0,9009001000.0,8492.119,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,332.78516,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,126455.266,1632.4711,6696.3384,74795.91,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,122206.625,11787.028,883.4121,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,478.2624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,126924.36,0.0,0.0,263.92575,0.0,3.3348582,75.75438,3696.5623
