,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2002-07-06 12:00:00,317.9519,326.1584,321.31564,320.59448,272.21985,345.36993,329.34586,292.2067,302.2564,304.7492,251.62877,318.9318,324.5334,322.62247,338.1426,325.43542,320.47696,318.65662,318.66882,305.35364,274.2871,299.4227,292.3849,294.81787,296.6635,334.7737,-68226.04,14020.5205,4873.0615,-81255.74,3100.0,1500.0,78528.56,3696.564,17993.906,74743.04,31939.67,-4.1777267,5639.424,64302.652,4821.1934
1,2001-01-10 00:00:00,317.95206,326.28622,321.37366,320.6273,272.21985,345.36993,329.34586,292.2067,302.2564,304.74963,251.62875,318.9325,324.91534,322.73483,338.4577,325.4449,320.4771,318.6571,318.69223,305.3583,274.2871,299.4227,292.3849,294.81787,296.6635,334.7737,-68794.945,13988.725,4873.0615,-81255.71,3100.0,1500.0,93612.13,3696.548,18003.855,76712.28,31939.816,-4.177696,5639.4263,64302.664,4821.174
2,2001-01-17 00:00:00,317.95377,326.50143,321.4639,320.704,272.21985,345.36993,329.34586,292.2067,302.2564,304.75177,251.62875,318.9415,325.1127,322.86465,338.93787,325.52478,320.48047,318.6614,318.73898,305.37027,274.2871,299.4227,292.3849,294.81793,296.66354,334.7737,-70059.516,13917.206,4872.714,-81255.71,3100.0,1500.0,98236.4,3696.4739,18033.33,78612.2,31940.195,-4.1780243,5639.465,64302.703,4821.1753
3,2001-01-24 00:00:00,317.9578,326.70493,321.54337,320.77344,272.21985,345.36993,329.34586,292.20673,302.2564,304.75458,251.62875,318.95917,325.2966,322.99072,339.24722,325.6539,320.49057,318.66998,318.79105,305.38486,274.2871,299.4227,292.3849,294.81805,296.66357,334.7737,-71383.445,13835.235,4871.668,-81255.88,3100.0,1500.0,102128.484,3696.3948,18071.816,80407.09,31940.498,-4.1792603,5639.5747,64302.87,4821.1753
4,2001-01-31 00:00:00,317.9645,326.90918,321.6257,320.8457,272.21985,345.36993,329.34586,292.20676,302.2564,304.75787,251.62875,318.98267,325.51526,323.1284,339.48233,325.80453,320.5084,318.6827,318.85086,305.4024,274.2871,299.4227,292.3849,294.81827,296.6637,334.7737,-72851.945,13740.148,4869.5767,-81256.086,3100.0,1500.0,106215.914,3696.3193,18119.826,82474.766,31940.617,-4.181999,5639.778,64303.266,4821.1753
5,2001-02-07 00:00:00,317.97424,327.10748,321.7133,320.92343,272.21985,345.36993,329.3459,292.20682,302.2564,304.76172,251.62875,319.0114,325.72055,323.26688,339.67654,325.96103,320.53418,318.69986,318.9165,305.4226,274.2871,299.4227,292.3849,294.81866,296.66394,334.7737,-74464.76,13634.222,4867.255,-81256.66,3100.0,1500.0,109633.0,3696.2449,18176.883,84575.13,31940.441,-4.1866226,5640.0913,64303.957,4821.176
6,2001-02-14 00:00:00,317.98718,327.2983,321.7985,321.0006,272.21985,345.36993,329.34592,292.20697,302.2564,304.76587,251.62875,319.0446,325.9053,323.40082,339.83923,326.1164,320.56775,318.72125,318.98474,305.4446,274.2871,299.42273,292.3849,294.81924,296.6643,334.7737,-76126.61,13522.642,4864.5854,-81257.48,3100.0,1500.0,112434.42,3696.1765,18240.908,86608.65,31939.846,-4.193695,5640.5303,64305.062,4821.176
7,2001-02-21 00:00:00,318.00333,327.47583,321.87796,321.07407,272.21985,345.36993,329.34595,292.2072,302.2564,304.77023,251.62875,319.0811,326.06577,323.52606,339.97253,326.27698,320.6084,318.74658,319.0532,305.46768,274.2871,299.42273,292.3849,294.82004,296.6649,334.7737,-77772.195,13409.177,4860.988,-81258.734,3100.0,1500.0,114492.24,3696.1177,18309.998,88516.79,31938.74,-4.203697,5641.0977,64306.676,4821.177
8,2001-02-28 00:00:00,318.02258,327.63837,321.95084,321.14236,272.21985,345.36993,329.34598,292.20752,302.25644,304.7746,251.62875,319.11963,326.20776,323.64157,340.0766,326.43604,320.65506,318.77536,319.12027,305.4913,274.2871,299.42273,292.3849,294.82104,296.66565,334.7737,-79363.87,13296.827,4857.04,-81260.63,3100.0,1500.0,116026.55,3696.0693,18382.633,90295.81,31937.05,-4.2167587,5641.795,64308.848,4821.177
9,2001-03-07 00:00:00,318.0447,327.78265,322.01566,321.20447,272.21988,345.36993,329.34604,292.20798,302.2565,304.77893,251.62875,319.1592,326.3204,323.7444,340.15094,326.5864,320.7065,318.807,319.18442,305.51495,274.2871,299.42276,292.3849,294.8223,296.66666,334.7737,-80866.89,13187.939,4851.702,-81262.99,3100.0,1500.0,116799.266,3696.0317,18458.156,91883.22,31934.73,-4.233139,5642.6147,64311.64,4821.177
10,2001-03-14 00:00:00,318.06946,327.90607,322.0703,321.2584,272.21988,345.36993,329.3461,292.20856,302.2566,304.7831,251.62875,319.19885,326.40182,323.83228,340.19507,326.7245,320.76163,318.841,319.244,305.5381,274.2871,299.4228,292.3849,294.82376,296.66788,334.7737,-82239.85,13085.589,4846.2466,-81266.11,3100.0,1500.0,116824.21,3696.0059,18533.809,93238.664,31931.752,-4.2531433,5643.554,64315.09,4821.1772
11,2001-03-21 00:00:00,318.0964,328.00485,322.11374,321.3031,272.2199,345.36993,329.34616,292.2093,302.25668,304.78702,251.62875,319.23755,326.45078,323.90314,340.20892,326.8464,320.81894,318.87665,319.29742,305.56003,274.2871,299.42282,292.3849,294.8255,296.66934,334.7737,-83449.25,12992.2705,4840.5566,-81269.87,3100.0,1500.0,116140.45,3695.992,18609.596,94329.49,31928.098,-4.276512,5644.5986,64319.21,4821.1777
12,2001-03-28 00:00:00,318.12497,328.07776,322.1447,321.33704,272.2199,345.36993,329.34622,292.21017,302.25684,304.79056,251.62875,319.27417,326.4661,323.95532,340.19287,326.94888,320.87686,318.9131,319.34332,305.5803,274.2871,299.4229,292.3849,294.82742,296.67105,334.7737,-84457.875,12910.796,4833.9395,-81274.38,3100.0,1500.0,114756.51,3695.9902,18681.594,95126.72,31923.793,-4.303253,5645.7285,64324.008,4821.1777
13,2001-04-04 00:00:00,318.15472,328.12357,322.16238,321.35938,272.21994,345.36993,329.3463,292.2112,302.257,304.79364,251.62875,319.3078,326.44717,323.9878,340.14755,327.03003,320.93387,318.94952,319.38052,305.5984,274.2871,299.423,292.3849,294.82956,296.67297,334.7737,-85241.0,12842.933,4827.2056,-81279.66,3100.0,1500.0,112697.85,3696.0012,18747.848,95612.58,31918.865,-4.3329697,5646.927,64329.434,4821.1777
14,2001-04-11 00:00:00,318.18512,328.1408,322.16632,321.36966,272.22,345.36993,329.34637,292.2124,302.2572,304.79617,251.62875,319.33755,326.39438,323.99966,340.0741,327.08832,320.98843,318.9852,319.40814,305.6139,274.2871,299.42313,292.3849,294.83185,296.6751,334.7737,-85778.93,12790.566,4820.005,-81285.48,3100.0,1500.0,110009.055,3696.024,18807.133,95771.1,31913.393,-4.3653336,5648.168,64335.453,4821.1777
15,2001-04-18 00:00:00,318.21536,328.12894,322.1573,321.36798,272.22006,345.36993,329.34644,292.2137,302.25745,304.7981,251.62875,319.36273,326.3159,323.99106,339.97366,327.12262,321.03928,319.01926,319.42563,305.62646,274.2871,299.4233,292.3849,294.83426,296.6774,334.7737,-86063.98,12754.809,4813.0425,-81292.04,3100.0,1500.0,106812.305,3696.0579,18859.777,95621.625,31907.44,-4.3999786,5649.4287,64341.97,4821.1787
16,2001-04-25 00:00:00,318.24496,328.0882,322.13525,321.35455,272.22012,345.36993,329.3465,292.21515,302.25772,304.7994,251.62875,319.38278,326.2053,323.9615,339.84802,327.13226,321.0851,319.05106,319.4326,305.63586,274.2871,299.42352,292.3849,294.83676,296.67987,334.7737,-86090.34,12736.545,4805.962,-81299.01,3100.0,1500.0,103141.44,3696.1018,18902.455,95141.875,31901.094,-4.436302,5650.689,64348.94,4821.179
17,2001-05-02 00:00:00,318.27335,328.01874,322.09943,321.3288,272.2202,345.36993,329.34656,292.2167,302.25806,304.80005,251.62875,319.3972,326.06146,323.9107,339.69965,327.1173,321.12488,319.0798,319.42853,305.6418,274.2871,299.4238,292.38492,294.83932,296.68243,334.7737,-85846.164,12736.428,4798.9966,-81306.51,3100.0,1500.0,98954.6,3696.155,18934.143,94323.586,31894.457,-4.473892,5651.923,64356.23,4821.179
18,2001-05-09 00:00:00,318.29996,327.92062,322.0495,321.29034,272.22034,345.36993,329.3466,292.21835,302.2584,304.79996,251.62875,319.4055,325.8879,323.83902,339.53067,327.07758,321.15762,319.10495,319.41318,305.64413,274.2871,299.4241,292.38495,294.84192,296.6851,334.7737,-85323.59,12755.308,4792.3784,-81314.46,3100.0,1500.0,94412.34,3696.2173,18954.068,93176.5,31887.627,-4.5120544,5653.1074,64363.777,4821.179
19,2001-05-16 00:00:00,318.32422,327.7987,321.99362,321.24426,272.22046,345.36993,329.34665,292.22006,302.2588,304.7992,251.62875,319.40747,325.7398,323.75848,339.34387,327.01358,321.18262,319.126,319.38943,305.64322,274.2871,299.42447,292.38495,294.84445,296.68777,334.7737,-84601.82,12789.065,4786.3423,-81322.49,3100.0,1500.0,90439.5,3696.2847,18963.084,91976.26,31880.727,-4.550354,5654.224,64371.453,4821.179
20,2001-05-23 00:00:00,318.34583,327.65842,321.93695,321.19638,272.2206,345.36993,329.34668,292.22183,302.2592,304.79794,251.62875,319.4039,325.59027,323.66928,339.14224,326.92844,321.19962,319.14285,319.35904,305.63965,274.2871,299.42487,292.385,294.84692,296.69046,334.7737,-83759.75,12834.475,4780.305,-81330.72,3100.0,1500.0,86555.73,3696.3508,18962.236,90671.22,31873.89,-4.5879593,5655.253,64379.133,4821.179
