name,stress_period,time_step,ZONE_0,haweaflat,moraine_top,river_zone,main_terrace,sandy_point,clutha,sub_terrace,mangawera
FROM_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_WELLS,0,0,0.0,4777.7715,18.260052,1438.9762,8504.589,0.0,0.0,77.06712,1081.1698
FROM_HEAD_DEP_BOUNDS,0,0,0.0,0.0,76165.586,0.0,0.0,0.0,0.0,0.0,0.0
FROM_RECHARGE,0,0,0.0,11435.957,1631.3204,4484.366,15251.537,1894.4105,2240.9023,1178.2632,2905.9722
FROM_STREAM_LEAKAGE,0,0,0.0,3500.0,1100.0,33800.973,3119.7043,36.53795,16.48441,0.0,0.0
FROM_STREAM_FLOW_OUT,0,0,0.0,173263.03,26465.953,806104100.0,119894300.0,2831748000.0,9008513000.0,0.0,0.0
FROM_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_haweaflat,0,0,0.0,0.0,447.2815,86460.18,18829.104,0.0,0.0,0.0,0.0
FROM_moraine_top,0,0,0.0,78975.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROM_river_zone,0,0,0.0,11717.14,0.0,0.0,32145.941,0.0,42.222157,68.41209,0.0
FROM_main_terrace,0,0,0.0,835.1981,0.0,206.27133,0.0,6502.034,66039.695,6084.024,0.0
FROM_sandy_point,0,0,0.0,0.0,0.0,0.0,1680.8411,0.0,44.764523,0.0,0.0
FROM_clutha,0,0,0.0,0.0,0.0,3.3324366,1737.0424,12.871554,0.0,911.2338,0.0
FROM_sub_terrace,0,0,0.0,0.0,0.0,72.58981,444.60028,0.0,7361.0635,0.0,0.0
FROM_mangawera,0,0,0.0,0.0,0.0,3696.564,0.0,0.0,0.0,0.0,0.0
TOTAL_IN,0,0,0.0,284504.94,105828.4,806234300.0,119976020.0,2831756500.0,9008588000.0,8319.0,3987.142
TO_STORAGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_CONSTANT_HEAD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_WELLS,0,0,0.0,5505.3066,0.0,0.0,445.89493,28.567646,0.0,440.7458,290.60635
TO_HEAD_DEP_BOUNDS,0,0,0.0,0.0,386.68652,0.0,0.0,0.0,0.0,0.0,0.0
TO_RECHARGE,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_STREAM_LEAKAGE,0,0,0.0,0.0,0.0,86189.63,1600.2659,6691.5903,73080.484,0.0,0.0
TO_STREAM_FLOW_OUT,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_ZONE_0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_haweaflat,0,0,0.0,0.0,78975.84,11717.14,835.1981,0.0,0.0,0.0,0.0
TO_moraine_top,0,0,0.0,447.2815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_river_zone,0,0,0.0,86460.18,0.0,0.0,206.27133,0.0,3.3324366,72.58981,3696.564
TO_main_terrace,0,0,0.0,18829.104,0.0,32145.941,0.0,1680.8411,1737.0424,444.60028,0.0
