,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2002-07-06 12:00:00,317.6332,325.5811,321.08038,320.37082,272.2044,345.36954,329.3452,292.15842,302.24234,304.72583,251.62839,318.7489,324.07886,322.21536,337.62408,-888.0,320.13043,318.34152,318.3983,305.2037,274.2854,299.36423,292.33038,294.75925,296.58585,334.74936,-62387.043,14504.562,5025.488,-81002.69,3100.0,1500.0,71800.03,3696.5625,17589.342,68419.016,32090.24,-3.2598877,5616.454,64077.055,4820.465
1,2001-01-10 00:00:00,317.63336,325.72415,321.1377,320.40326,272.2044,345.36954,329.3452,292.15842,302.24234,304.72626,251.62837,318.7496,324.4417,322.33246,337.9033,-888.0,320.13055,318.34198,318.42194,305.20844,274.2854,299.3642,292.33038,294.75925,296.58585,334.74936,-62951.812,14473.032,5025.488,-81002.69,3100.0,1500.0,86758.65,3696.547,17599.207,70357.05,32090.383,-3.259903,5616.4565,64077.062,4820.462
2,2001-01-17 00:00:00,317.63504,325.93784,321.22693,320.47888,272.2044,345.36954,329.3452,292.15842,302.24234,304.72833,251.62837,318.75845,324.63565,322.4615,338.37894,-888.0,320.13364,318.34616,318.46802,305.22028,274.2854,299.3642,292.33038,294.7593,296.58585,334.74936,-64192.098,14403.018,5025.2563,-81002.69,3100.0,1500.0,90601.57,3696.4749,17627.682,72194.77,32090.758,-3.2602615,5616.4946,64077.105,4820.462
3,2001-01-24 00:00:00,317.63892,326.1366,321.30222,320.54538,272.2044,345.36954,329.34525,292.15845,302.24234,304.73105,251.62837,318.77563,324.80222,322.5816,338.69495,-888.0,320.14313,318.35437,318.51785,305.23438,274.2854,299.3642,292.33038,294.7594,296.58588,334.74936,-65456.023,14325.08,5023.864,-81002.78,3100.0,1500.0,93970.86,3696.3992,17663.867,73855.34,32091.043,-3.2614212,5616.6035,64077.266,4820.4624
4,2001-01-31 00:00:00,317.6453,326.32718,321.37225,320.60834,272.2044,345.36954,329.34525,292.15848,302.24234,304.7341,251.62837,318.798,324.9554,322.6989,338.9364,325.3145,320.1598,318.36636,318.57126,305.25046,274.2854,299.3642,292.33038,294.75964,296.586,334.74936,-66753.22,14240.338,5022.2373,-81003.08,3100.0,1500.0,96596.16,3696.3323,17706.773,75500.7,32091.111,-3.2640991,5616.801,64077.652,4820.463
5,2001-02-07 00:00:00,317.65427,326.5075,321.439,320.6693,272.2044,345.36954,329.34528,292.15854,302.24234,304.73743,251.62837,318.82397,325.09943,322.81305,339.13623,325.45956,320.18344,318.38193,318.62698,305.26807,274.2854,299.36423,292.33038,294.76,296.58624,334.74936,-68074.266,14150.788,5020.379,-81003.55,3100.0,1500.0,99038.08,3696.274,17755.44,77130.375,32090.867,-3.2684631,5617.098,64078.312,4820.4634
6,2001-02-14 00:00:00,317.6659,326.6806,321.5042,320.729,272.2044,345.36954,329.34528,292.1587,302.24234,304.74094,251.62837,318.85257,325.23615,322.92468,339.30298,325.60583,320.21356,318.40085,318.68436,305.28683,274.2854,299.36423,292.33038,294.76056,296.5866,334.74936,-69413.38,14057.855,5017.7075,-81004.24,3100.0,1500.0,101274.04,3696.2227,17809.293,78746.9,32090.234,-3.2751694,5617.503,64079.375,4820.464
7,2001-02-21 00:00:00,317.6802,326.8461,321.56903,320.78864,272.2044,345.36954,329.3453,292.1589,302.24234,304.74457,251.62837,318.8833,325.37912,323.03604,339.43903,325.7502,320.24942,318.42294,318.74338,305.30673,274.2854,299.36423,292.33038,294.76126,296.58713,334.74936,-70779.42,13961.618,5014.459,-81005.54,3100.0,1500.0,103353.79,3696.177,17867.629,80404.0,32089.164,-3.2842865,5618.0137,64080.848,4820.464
8,2001-02-28 00:00:00,317.69708,326.99823,321.63293,320.84814,272.20444,345.36954,329.34537,292.1592,302.24237,304.74835,251.62837,318.9159,325.51102,323.1422,339.54556,325.8894,320.29037,318.448,318.8029,305.32748,274.2854,299.36423,292.33038,294.76218,296.5878,334.74936,-72160.164,13863.496,5010.976,-81007.23,3100.0,1500.0,104846.53,3696.1353,17930.363,82015.93,32087.627,-3.296112,5618.6274,64082.82,4820.4644
9,2001-03-07 00:00:00,317.71634,327.13205,321.6917,320.9039,272.20444,345.36954,329.3454,292.1596,302.24243,304.75214,251.62837,318.9499,325.61627,323.237,339.6223,326.01843,320.33566,318.47568,318.86035,305.34842,274.2854,299.36426,292.33038,294.76328,296.58868,334.74936,-73490.55,13767.563,5006.3345,-81009.516,3100.0,1500.0,105641.086,3696.1013,17995.713,83455.05,32085.572,-3.31073,5619.3438,64085.32,4820.465
