,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,320.80545,331.06244,323.749,322.92892,272.39658,345.37393,329.3525,292.76025,302.41846,305.00156,251.63315,320.83612,329.36493,326.45297,342.1287,329.95395,323.7383,321.57565,321.34174,306.91394,274.3066,300.0862,293.00327,295.48938,297.55414,335.03433,-129184.96,8863.232,3116.4792,-84181.74,3100.0,1500.0,149327.14,3696.5608,22707.049,140828.5,30163.29,-14.944305,5905.4956,66911.266,4829.4023
1,1980-07-23,320.7869,331.06067,323.73663,322.91486,272.39658,345.37396,329.35217,292.75977,302.41818,304.99692,251.63315,320.8344,329.35568,326.43448,342.1285,329.95346,323.73648,321.56,321.32336,306.89914,274.3066,300.12863,293.00327,295.48352,297.554,335.03433,-128698.33,8935.556,3186.5984,-84179.125,3100.0,1500.0,149387.28,3696.7078,22589.82,140437.36,30107.938,-2.7575989,5924.8096,66900.74,4829.6284
2,1980-07-30,320.7642,331.05743,323.72427,322.90228,272.39658,345.375,329.35062,292.75653,302.41183,304.99323,251.63315,320.8278,329.34723,326.4264,342.1282,329.95862,323.72913,321.54416,321.31348,306.88785,274.3066,300.3238,293.00327,295.47626,297.55246,335.03433,-128412.72,8962.776,3213.07,-84163.836,3100.0,1500.0,149414.3,3696.6287,22627.273,140292.58,30127.947,-1.4897919,5933.9863,66882.27,4830.944
3,1980-08-06,320.74667,331.05716,323.71957,322.8966,272.39658,345.38348,329.35303,292.75247,302.3975,304.99158,251.6332,320.82245,329.34348,326.4225,342.12875,329.97897,323.72107,321.53085,321.3073,306.87955,274.3066,300.7885,293.00327,295.47076,297.55008,335.03433,-128284.28,8980.426,3230.131,-84146.59,3100.0,1500.0,149398.8,3696.34,22674.717,140202.47,30143.164,-1.4900055,5936.6104,66866.445,4834.279
4,1980-08-13,320.73187,331.06107,323.71964,322.89487,272.39655,345.419,329.3682,292.74844,302.3812,304.99054,251.63335,320.8212,329.34308,326.42215,342.1315,329.99454,323.7137,321.51926,321.30377,306.87296,274.3066,301.10977,293.0033,295.46606,297.5478,335.03433,-128261.07,8992.114,3243.717,-84130.4,3100.0,1500.0,149349.75,3697.3533,22714.389,140151.34,30156.36,-1.587532,5937.3887,66851.945,4839.918
5,1980-08-20,320.71945,331.0541,323.72137,322.89557,272.39648,345.50455,329.39673,292.74463,302.36658,304.9902,251.6338,320.8243,329.34207,326.42065,342.12653,329.9721,323.70746,321.50955,321.30182,306.86792,274.3066,300.76712,293.00333,295.46216,297.54654,335.03433,-128264.35,8998.381,3251.7258,-84115.81,255.4448,255.4448,149536.53,3701.8928,22689.598,140099.8,30169.496,-2.0011902,5936.9688,66838.89,4842.8843
6,1980-08-27,320.70792,331.02972,323.7183,322.89304,272.3964,345.60095,329.4245,292.74115,302.3551,304.99042,251.63463,320.828,329.33466,326.40924,342.10995,329.9454,323.70193,321.50018,321.2961,306.8623,274.3066,300.37057,293.00342,295.45868,297.54663,335.03433,-128145.51,9011.608,3259.3845,-84102.9,255.4448,255.4448,149777.31,3710.0525,22617.916,139906.27,30176.928,-1.6609955,5937.3657,66826.94,4840.33
7,1980-09-03,320.697,331.00967,323.7129,322.88815,272.39624,345.64905,329.4471,292.73785,302.34592,304.9914,251.63567,320.83035,329.32626,326.39755,342.09906,329.9233,323.69595,321.49115,321.28934,306.85678,274.3066,300.14606,293.0037,295.4557,297.54727,335.03433,-128000.22,9025.296,3262.6367,-84091.25,255.4448,255.4448,149955.53,3719.2188,22576.703,139698.03,30185.342,-1.6110916,5937.7134,66816.01,4836.316
8,1980-09-10,320.68683,330.99353,323.70752,322.88303,272.39606,345.6514,329.46542,292.7348,302.3384,304.9929,251.63663,320.83127,329.3187,326.38712,342.0918,329.90454,323.6894,321.48242,321.28253,306.8516,274.3066,299.99432,293.00427,295.45322,297.5473,335.03433,-127856.57,9038.791,3263.4521,-84080.664,255.4448,255.4448,150090.67,3727.624,22550.027,139505.66,30192.332,-1.5888062,5937.946,66806.5,4832.1543
9,1980-09-17,320.6772,330.98242,323.70325,322.87827,272.3958,345.63065,329.48303,292.73206,302.3323,304.99445,251.63728,320.83148,329.3125,326.3785,342.08707,329.92136,323.6825,321.47397,321.2761,306.8467,274.3066,300.46432,293.0052,295.45102,297.5462,335.03433,-127750.47,9051.863,3262.755,-84071.12,255.4448,255.4448,150165.86,3734.8787,22566.482,139331.08,30198.121,-1.480957,5938.1846,66798.055,4830.022
10,1980-09-24,320.67084,330.9796,323.705,322.8782,272.39557,345.61282,329.51007,292.7296,302.32733,304.9967,251.63757,320.83334,329.3112,326.37738,342.08286,329.9215,323.676,321.46835,321.2744,306.84473,274.3066,300.96164,293.00647,295.44977,297.54407,335.03433,-127809.05,9050.672,3251.8403,-84062.63,255.4448,255.4448,150194.66,3742.194,22673.48,139267.23,30212.36,-3.2304306,5935.279,66791.88,4834.3843
11,1980-10-01,320.66562,330.98523,323.70724,322.87964,272.3953,345.649,329.5379,292.72775,302.3241,304.9989,251.63768,320.8354,329.31277,326.3779,342.08612,329.90253,323.67093,321.46332,321.27292,306.84268,274.3066,300.97406,293.00797,295.44867,297.5421,335.03433,-127821.586,9054.018,3247.6616,-84056.12,3100.0,1500.0,150068.8,3751.27,22692.041,139224.64,30214.742,-3.2565002,5933.8296,66787.234,4840.1426
12,1980-10-08,320.66727,330.99942,323.71307,322.8868,272.395,345.74118,329.5553,292.7263,302.32278,305.00296,251.63795,320.83615,329.32034,326.38977,342.10007,329.89728,323.66754,321.4647,321.28015,306.84668,274.3066,300.89185,293.00958,295.44965,297.5415,335.03433,-128003.4,9026.947,3216.7793,-84051.38,3100.0,1500.0,149883.12,3760.5266,22726.725,139420.03,30239.484,-7.7883377,5925.835,66786.49,4844.2397
