,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,320.80545,331.06244,323.749,322.92892,272.39658,345.37393,329.3525,292.76025,302.41846,305.00156,251.63315,320.83612,329.36493,326.45297,342.1287,329.95395,323.7383,321.57565,321.34174,306.91394,274.3066,300.0862,293.00327,295.48938,297.55414,335.03433,-129184.96,8863.232,3116.4792,-84181.74,3100.0,1500.0,149327.14,3696.5608,22707.049,140828.5,30163.29,-14.944305,5905.4956,66911.266,4829.4023
1,1980-07-23,320.80594,331.311,323.88092,323.01105,272.39658,345.37393,329.3525,292.76025,302.41846,305.00272,251.63315,320.83813,330.6195,326.72757,343.89725,329.9712,323.73907,321.5773,321.40646,306.92633,274.3066,300.0862,293.00327,295.48938,297.55414,335.03433,-130825.36,8768.839,3116.2468,-84181.74,3100.0,1500.0,218025.95,3696.5234,22738.326,146999.5,30163.635,-14.944351,5905.5015,66911.266,4829.4
2,1980-07-30,320.8137,331.8957,324.24298,323.3196,272.39658,345.37393,329.35254,292.76025,302.41846,305.01147,251.63315,320.87314,331.32578,327.16013,344.5347,330.20297,323.75885,321.59634,321.58792,306.9722,274.3066,300.0862,293.00327,295.48953,297.55417,335.03433,-136158.94,8462.051,3114.6208,-84181.77,3100.0,1500.0,218583.11,3696.2092,22879.607,155335.6,30164.979,-14.94561,5905.6436,66911.41,4829.3994
3,1980-08-06,320.8319,332.2056,324.42474,323.50317,272.39658,345.37393,329.35254,292.76028,302.41846,305.0216,251.63315,320.94098,331.33676,327.35718,344.1629,330.55133,323.81082,321.63144,321.72208,307.01437,274.3066,300.0862,293.00327,295.48996,297.55435,335.03433,-139949.14,8214.093,3110.2083,-84182.14,3100.0,1500.0,199671.94,3695.9158,23033.18,158219.14,30165.514,-14.950417,5906.07,66912.055,4829.4004
4,1980-08-13,320.8572,332.2959,324.45334,323.5534,272.39658,345.37393,329.35257,292.76044,302.41846,305.0289,251.63315,321.00934,331.09192,327.3964,343.6435,330.81357,323.88043,321.67203,321.79358,307.0439,274.3066,300.0862,293.00327,295.4908,297.55484,335.03433,-141658.86,8069.598,3105.1018,-84183.1,3100.0,1500.0,182344.8,3695.8145,23160.969,158181.4,30164.443,-14.960625,5906.792,66913.49,4829.4004
5,1980-08-20,320.88535,332.28067,324.4058,323.53058,272.39658,345.37393,329.35266,292.7607,302.41846,305.03302,251.63315,321.0611,330.81613,327.3676,343.36584,330.94693,323.9503,321.71094,321.82208,307.0624,274.3066,300.0862,293.00327,295.492,297.5557,335.03433,-142014.78,8003.312,3099.182,-84184.836,3100.0,1500.0,175078.02,3695.861,23255.117,157102.64,30161.787,-14.976372,5907.743,66915.87,4829.4004
6,1980-08-27,320.9137,332.2715,324.37512,323.50946,272.3966,345.37393,329.35272,292.7612,302.4185,305.03546,251.63315,321.09586,330.79266,327.36597,343.36804,330.99756,324.0114,321.74622,321.84308,307.07712,274.3066,300.0862,293.00327,295.49356,297.55692,335.03433,-142203.39,7956.903,3093.3772,-84187.555,3100.0,1500.0,177157.69,3695.9524,23332.139,157090.88,30157.979,-14.997307,5908.8354,66919.17,4829.4004
7,1980-09-03,320.9419,332.30206,324.3903,323.52374,272.3966,345.37393,329.3528,292.76184,302.41858,305.03784,251.63315,321.12296,330.87744,327.40253,343.46,331.02698,324.0642,321.77963,321.8734,307.09314,274.3066,300.08624,293.00327,295.49536,297.55847,335.03433,-142809.02,7897.345,3087.4553,-84191.23,3100.0,1500.0,180264.42,3696.0098,23408.607,157965.19,30153.418,-15.022636,5910.019,66923.36,4829.4004
8,1980-09-10,320.97025,332.3511,324.42343,323.55466,272.3966,345.37393,329.3529,292.7627,302.41867,305.04056,251.63315,321.14938,330.9594,327.44983,343.5341,331.06354,324.11224,321.81262,321.90848,307.11017,274.3066,300.08627,293.00327,295.49738,297.56033,335.03433,-143637.78,7829.02,3080.9543,-84195.75,3100.0,1500.0,181989.52,3696.0295,23488.078,158970.0,30148.248,-15.051842,5911.272,66928.336,4829.4004
9,1980-09-17,320.9989,332.3947,324.45294,323.58466,272.39664,345.37393,329.35297,292.76373,302.41882,305.04333,251.63315,321.17654,330.9795,327.48718,343.51648,331.108,324.15784,321.84552,321.94162,307.12698,274.3066,300.08636,293.00327,295.49963,297.56244,335.03433,-144440.52,7763.0396,3074.1052,-84201.25,3100.0,1500.0,180336.27,3696.0337,23566.975,159670.56,30142.479,-15.084549,5912.586,66934.05,4829.4004
10,1980-09-24,321.02753,332.40616,324.46005,323.5973,272.39667,345.37393,329.35303,292.76492,302.41904,305.04575,251.63315,321.20248,330.90414,327.49454,343.39,331.14664,324.2009,321.87753,321.96405,307.14133,274.3066,300.08646,293.0033,295.50204,297.5648,335.03433,-144934.75,7714.44,3066.906,-84207.42,3100.0,1500.0,175487.23,3696.0474,23637.316,159694.72,30136.113,-15.120262,5913.947,66940.43,4829.4004
11,1980-10-01,321.05536,332.37952,324.4408,323.58652,272.39673,345.37393,329.3531,292.7663,302.41925,305.04733,251.63315,321.22394,330.78183,327.47174,343.24014,331.16333,324.2397,321.90717,321.97183,307.1517,274.3066,300.0866,293.0033,295.5046,297.56735,335.03433,-144997.92,7691.8335,3059.7078,-84214.27,3100.0,1500.0,170938.16,3696.086,23693.17,159151.55,30129.16,-15.15892,5915.3394,66947.414,4829.4004
12,1980-10-08,321.08154,332.3304,324.4096,323.5631,272.3968,345.37393,329.35315,292.7678,302.41956,305.04807,251.63315,321.23895,330.66,327.43408,343.10138,331.15436,324.2722,321.9334,321.96902,307.15866,274.3066,300.08682,293.0033,295.5073,297.5701,335.03433,-144775.44,7688.986,3052.1624,-84221.766,3100.0,1500.0,167138.78,3696.1426,23734.629,158401.44,30121.744,-15.199432,5916.7295,66954.914,4829.4004
13,1980-10-15,321.10553,332.26483,324.37466,323.53455,272.39688,345.37393,329.3532,292.76944,302.4199,305.04816,251.63315,321.2479,330.55063,327.38687,342.95065,331.1246,324.29752,321.95587,321.95862,307.16275,274.3066,300.08707,293.0033,295.51004,297.573,335.03433,-144378.86,7700.9067,3044.386,-84229.84,3100.0,1500.0,163184.97,3696.2046,23763.111,157548.58,30114.037,-15.241501,5918.092,66962.82,4829.401
14,1980-10-22,321.1269,332.17538,324.33096,323.49817,272.39697,345.37393,329.35324,292.77118,302.42026,305.04764,251.63315,321.25134,330.38995,327.32022,342.73495,331.07666,324.31558,321.97427,321.93854,307.1636,274.3066,300.08737,293.00333,295.51282,297.57596,335.03433,-143760.5,7730.0884,3037.6526,-84238.336,3100.0,1500.0,157169.12,3696.2708,23777.533,156304.48,30106.145,-15.28437,5919.402,66971.01,4829.401
15,1980-10-29,321.14502,332.05444,324.26605,323.44382,272.3971,345.37393,329.35327,292.773,302.42065,305.04626,251.63315,321.24854,330.16684,327.2279,342.49988,331.0061,324.32556,321.9878,321.90485,307.1601,274.3066,300.08777,293.00333,295.51556,297.579,335.03433,-142770.78,7783.767,3030.5706,-84247.27,3100.0,1500.0,151233.23,3696.3486,23773.855,154514.53,30098.172,-15.327217,5920.6323,66979.36,4829.401
