,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,320.94308,331.1291,323.7999,322.9799,272.2285,343.82727,328.25497,293.19864,301.34445,304.64954,251.12532,320.88174,329.46494,326.5348,342.12802,330.02716,323.82864,321.70178,321.41525,306.83398,273.13858,299.10547,292.2252,295.24588,297.18634,330.79837,-130652.22,8857.464,4271.941,-81224.09,3100.0,1500.0,148788.95,3291.2817,23128.113,142638.64,30830.37,8.185642,5641.1304,65184.484,4484.9316
1,1980-07-23,320.9178,331.3722,323.97916,323.12448,272.23837,343.79797,328.24814,293.18225,299.92062,304.6588,250.9928,320.89053,330.71515,326.8106,343.89423,330.0391,323.8279,321.6857,321.54712,306.87402,273.13663,299.09924,292.2225,295.3207,297.1869,330.7974,-123718.55,15617.056,5822.805,-79217.266,3100.0,1500.0,217221.52,3279.8816,23408.91,144396.86,36309.465,16.407082,5802.9043,65037.81,4616.1836
2,1980-07-30,320.89597,331.95166,324.4268,323.53064,272.26782,343.7387,328.22723,293.17075,298.41782,304.77145,250.9195,320.95993,331.44504,327.2722,344.5286,330.26962,323.84653,321.69165,321.8146,306.97745,273.1322,299.23605,292.21634,295.45093,297.20074,330.79495,-124169.19,19982.52,6316.3125,-77814.18,3100.0,1500.0,217726.77,3259.4048,23844.006,149603.19,39819.72,9.477482,5960.65,64894.91,4662.598
3,1980-08-06,320.91864,332.2731,324.6508,323.74802,272.29785,343.7589,328.22253,293.235,299.8728,305.087,251.14539,321.07886,331.49103,327.50125,344.16086,330.64908,323.90582,321.73648,321.96844,307.12668,273.13193,299.8063,292.2159,295.53625,297.23444,330.79535,-133764.84,16266.925,4839.627,-81003.19,3100.0,1500.0,198663.48,3258.2048,24188.566,154801.4,37220.414,12.65625,5923.053,65142.715,4429.143
4,1980-08-13,321.0062,332.4058,324.70917,323.82755,272.3288,344.02213,328.2979,293.43924,307.10864,305.85315,251.76962,321.19336,331.3257,327.61044,343.6616,330.97174,323.9945,321.82706,322.1185,307.42426,273.14645,300.49445,292.2362,295.62625,297.2823,330.80618,-138588.64,14130.872,2842.3853,-84463.84,3100.0,1500.0,181428.12,3297.5679,25077.697,157503.36,36492.457,43.363274,5786.542,65283.074,3828.98
5,1980-08-20,321.386,332.5614,324.87845,324.0446,272.46063,345.36688,328.7347,294.30566,343.38202,310.0564,254.64246,321.35535,331.43103,327.98325,343.46964,331.29593,324.1386,322.136,322.69028,308.8911,273.232,301.95712,292.35547,296.0051,297.39188,330.86664,-145058.61,10368.101,-6924.8623,-101328.92,255.4448,255.4448,174663.64,3401.3345,29736.154,167683.34,39679.324,251.11324,5252.483,64878.48,620.11426
6,1980-08-27,321.51227,332.6894,325.00574,324.17502,272.558,346.35217,329.28543,294.91766,350.0478,308.28415,253.1179,321.54337,331.4296,327.96414,343.4749,331.4922,324.33838,322.2908,322.59616,308.02957,273.30844,301.49515,292.46274,296.21536,297.54117,330.92117,-144243.52,15043.427,-4137.621,-92714.64,255.4448,255.4448,175117.0,3699.1462,26537.25,161491.33,37657.812,277.15167,4925.8096,66402.3,2944.8416
7,1980-09-03,321.54077,332.74622,324.96832,324.12848,272.58145,346.5647,329.51175,295.0539,340.25757,307.6241,252.69888,321.64038,331.45767,327.99063,343.54108,331.56223,324.4711,322.34366,322.57797,308.0562,273.345,301.19702,292.51486,296.2434,297.66235,330.94803,-151216.23,10522.207,-4352.273,-94323.34,255.4448,255.4448,177569.86,3845.7998,26250.629,165192.3,33817.34,212.52791,4928.03,67337.82,3330.6797
8,1980-09-10,321.5215,332.777,324.82367,323.95438,272.5399,346.4331,329.60254,295.0228,329.17596,306.15964,251.85188,321.66748,331.4101,327.89886,343.58484,331.58987,324.56155,322.34787,322.33243,307.60437,273.36533,300.69153,292.54498,296.07425,297.7485,330.96362,-162557.55,1115.9897,-3167.5574,-93316.04,255.4448,255.4448,179427.06,3920.943,24308.242,169556.11,24359.309,133.96649,4827.9404,68492.15,4275.6426
9,1980-09-17,321.54922,332.78943,324.69592,323.82462,272.488,346.30734,329.63324,294.97534,326.41257,306.17633,252.146,321.62823,331.3669,327.89273,343.5552,331.63135,324.60922,322.36908,322.30676,307.75235,273.38452,301.2241,292.57434,295.90707,297.7852,330.97842,-163811.12,-1973.525,-3520.8245,-93691.945,255.4448,255.4448,178418.6,3925.9404,24801.844,173027.77,22797.023,106.620926,4806.1064,68459.19,3865.9707
