,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2018-01-06 12:00:00,319.17838,328.59503,322.4095,321.62192,272.01062,343.02063,328.01358,291.84332,301.3707,304.70584,251.18207,319.72546,326.81586,324.43237,340.1997,327.619,321.94138,319.9255,319.84366,305.77142,273.05923,298.43445,291.6925,294.57266,296.40067,328.75983,-96472.12,10649.284,5536.4097,-78458.9,3100.0,1500.0,112985.77,3221.7935,20083.51,105464.05,31184.344,-1.1368408,5622.6973,62735.734,4353.213
1,2015-07-22 00:00:00,319.2078,328.52557,322.59787,321.90863,272.08298,343.05478,328.02496,292.08676,303.7254,305.41745,251.29735,319.76495,326.49374,324.4862,339.88254,327.63498,321.94528,319.957,320.27365,306.2248,273.06128,298.56067,291.6996,294.9334,296.41092,328.76404,-64971.703,35415.59,9619.695,-71488.69,3100.0,1500.0,94302.195,3195.665,22161.254,90667.86,52492.32,35.262188,6006.986,61643.95,4133.242
2,2015-07-29 00:00:00,319.239,328.32877,322.6808,321.99783,272.1893,343.12296,328.04654,292.06503,304.34274,305.72095,251.28682,319.90295,326.21664,324.40027,339.356,327.60043,321.97498,320.00723,320.2853,306.26434,273.06378,298.7163,291.70938,295.22372,296.48306,328.77063,-76125.4,29856.734,6918.361,-77360.7,3100.0,1500.0,81597.06,3198.296,21887.316,90340.8,47188.97,47.156364,6223.429,62279.727,4175.4736
3,2015-08-05 00:00:00,319.4365,328.2033,322.66513,321.97937,272.2782,343.75204,328.21964,292.41043,323.72476,307.8692,252.99706,320.01184,326.27524,324.48248,339.0009,327.62964,322.02344,320.15823,320.4531,307.10474,273.10257,300.00238,291.76895,295.46017,296.60526,328.80255,-88259.2,20806.684,222.31616,-89790.33,3100.0,1500.0,78523.77,3279.034,23971.875,98551.67,42878.51,119.160675,5762.815,62751.434,2359.3809
4,2015-08-12 00:00:00,319.50082,328.04556,322.66296,322.0057,272.34415,344.2388,328.45892,293.32773,326.17618,307.04807,252.17242,320.09308,325.9628,324.29016,338.6873,327.5531,322.0846,320.22775,320.38644,306.6712,273.1392,300.1106,291.8254,295.6602,296.73468,328.8332,-78829.58,28126.709,2384.4065,-83106.34,3100.0,1500.0,70892.336,3399.8064,22571.654,89677.7,45659.6,159.93707,5496.56,63578.926,3555.3826
5,2015-08-19 00:00:00,319.48392,327.81165,322.4523,321.76172,272.35144,344.3282,328.54968,293.68408,320.2018,306.16345,251.7858,320.1189,325.72015,324.0927,338.37817,327.39536,322.1092,320.2158,320.08817,306.45544,273.15128,300.21658,291.84763,295.60947,296.84402,328.84674,-95648.13,14645.016,631.6527,-87813.29,3100.0,1500.0,68375.6,3476.174,21337.807,94640.85,33833.234,118.27139,5258.819,64846.37,3919.0376
6,2015-08-26 00:00:00,319.41592,327.5518,322.2743,321.612,272.32306,344.22815,328.55145,293.74142,311.5656,305.2085,251.12679,320.0602,325.4334,323.86304,338.1338,327.16324,322.09094,320.15524,319.973,306.23468,273.14957,299.91986,291.85065,295.57147,296.9071,328.85065,-81617.63,22587.576,4070.057,-80945.95,3100.0,1500.0,66026.95,3475.6814,20885.68,87015.8,39045.953,67.71622,5416.1484,65015.78,4569.633
7,2015-09-02 00:00:00,319.34598,327.2707,322.0499,321.35156,272.28387,344.06607,328.48453,293.1801,305.346,304.59814,250.91107,319.9923,325.19003,323.5914,337.92102,326.91113,322.0439,320.08203,319.65347,306.0212,273.1398,299.65814,291.8426,295.40616,296.9458,328.84888,-94656.02,9842.806,2606.255,-85237.07,3100.0,1500.0,64767.348,3442.0293,19726.875,90803.734,28168.535,35.95764,5622.5254,65702.85,4702.702
8,2015-09-09 00:00:00,319.26358,326.9986,321.73352,321.01288,272.19482,343.88666,328.39554,292.71298,300.35364,303.716,250.6449,319.86212,324.93552,323.28278,337.78323,326.64352,321.96765,319.9857,319.2841,305.66245,273.1263,299.32962,291.82974,295.05847,296.9412,328.84442,-99717.21,313.05286,1214.5492,-84445.39,3100.0,1500.0,66611.97,3408.1565,18199.113,92711.664,18415.37,5.5667267,5395.743,65908.12,4925.3203
9,2015-09-16 00:00:00,319.18008,326.7857,321.4805,320.76056,272.11215,343.6949,328.28958,292.90778,297.21027,303.2485,250.55501,319.69278,324.7648,323.1106,337.75574,326.39737,321.86343,319.8835,319.08423,305.48007,273.10992,299.0979,291.81348,294.73755,296.88086,328.83786,-94740.414,-270.41504,1982.148,-81691.83,3100.0,1500.0,69098.13,3350.6836,17860.826,91654.67,17623.691,-13.160896,5204.0664,65358.645,4943.7607
