,date,hds_g40_0367,hds_g40_0415,hds_g40_0416,hds_g40_0041,hds_g40_0366,hds_up_mang,hds_low_mang,hds_sub_terrace,hds_butterfield,hds_camphill_air,hds_sandypoint,hds_te_awa,hds_haw_town,hds_burdon,hds_ne_moraine,hds_cameron,hds_n_hawflat,hds_hawflat,hds_haw_domain,hds_w_hawflat,hds_s_terrace,hds_mid_e_terrace,hds_mid_terrace,hds_nw_terrace,hds_n_mid_terrace,hds_ne_terrace,riv_h1_flux,riv_h2_flux,riv_h3_flux,riv_c1_flux,riv_gview_flux,riv_john_flux,moraine_top_to_haweaflat,mangawera_to_river_zone,haweaflat_to_main_terrace,haweaflat_to_river_zone,river_zone_to_main_terrace,river_zone_to_sub_terrace,main_terrace_to_sub_terrace,main_terrace_to_clutha,main_terrace_to_sandy_point
0,2000-09-27,320.80545,331.06244,323.749,322.92892,272.39658,345.37393,329.3525,292.76025,302.41846,305.00156,251.63315,320.83612,329.36493,326.45297,342.1287,329.95395,323.7383,321.57565,321.34174,306.91394,274.3066,300.0862,293.00327,295.48938,297.55414,335.03433,-129184.96,8863.232,3116.4792,-84181.74,3100.0,1500.0,149327.14,3696.5608,22707.049,140828.5,30163.29,-14.944305,5905.4956,66911.266,4829.4023
1,1980-07-23,320.77405,331.30444,323.92807,323.07196,272.40588,345.30292,329.33133,292.71368,300.945,304.88177,251.37744,320.84448,330.61865,326.72287,343.89407,329.9613,323.73593,321.55573,321.45877,306.89462,274.30164,300.01202,292.99637,295.55148,297.55344,335.0313,-122039.77,15771.278,4578.9985,-81963.71,3100.0,1500.0,217943.94,3681.4788,22833.414,142198.8,35485.527,0.47452545,6080.6953,66737.58,5034.715
2,1980-07-30,320.74417,331.88113,324.375,323.47638,272.4336,345.19,329.28043,292.65366,299.27814,304.9334,251.26099,320.91202,331.34775,327.1806,344.52737,330.18533,323.7496,321.55472,321.72067,306.98608,274.29175,300.0889,292.98257,295.6657,297.56284,335.02518,-122374.414,20054.727,5185.581,-80412.99,3100.0,1500.0,218342.4,3653.1375,23226.715,147285.75,38947.34,-1.5669785,6261.2607,66550.1,5102.785
3,1980-08-06,320.76242,332.19968,324.5951,323.6902,272.4618,345.18756,329.25742,292.687,300.62888,305.27185,251.51291,321.02893,331.39438,327.4082,344.1591,330.56165,323.8038,321.59476,321.87503,307.14862,274.28693,300.6266,292.9758,295.74203,297.59055,335.0225,-131929.56,16386.541,3742.097,-83593.68,3100.0,1500.0,199424.6,3642.5986,23618.951,152510.27,36444.973,0.66623306,6232.666,66764.48,4845.2764
4,1980-08-13,320.85202,332.33258,324.65512,323.77158,272.49188,345.4744,329.34943,292.89658,307.97885,306.13046,252.22058,321.14233,331.22348,327.52264,343.6602,330.88635,323.89005,321.6855,322.03534,307.48752,274.3001,301.3343,292.99414,295.83328,297.63342,335.03238,-136900.48,14144.175,1690.8743,-87201.836,3100.0,1500.0,182123.73,3673.3691,24623.055,155503.03,35715.336,27.785862,6084.056,66892.055,4177.082
5,1980-08-20,321.26318,332.50412,324.8284,323.99783,272.62695,347.02347,329.9352,293.916,344.56818,310.79068,255.4862,321.30643,331.33704,327.93307,343.47162,331.23343,324.04208,322.0144,322.6762,309.18973,274.39938,303.05783,293.13245,296.2567,297.74612,335.10248,-144391.98,9597.996,-8618.64,-105176.57,255.4448,255.4448,175079.83,3770.9624,29948.43,167548.0,38681.13,190.91348,5448.2754,66572.49,589.7473
6,1980-08-27,321.40146,332.64517,324.96582,324.13705,272.72964,348.055,330.62225,294.634,352.05255,308.78622,253.71178,321.5017,331.34363,327.9073,343.48022,331.44525,324.2578,322.18652,322.5507,308.15598,274.48764,302.59247,293.25604,296.4792,297.90695,335.1654,-143287.22,14708.574,-5813.6333,-96234.98,255.4448,255.4448,175477.89,4150.9395,26209.861,160285.42,36585.766,216.77744,5044.5454,68185.6,3174.204
7,1980-09-03,321.42914,332.70355,324.9291,324.09033,272.75397,348.21082,330.85516,294.78442,342.4592,308.08316,253.2544,321.60098,331.37415,327.9341,343.54562,331.5172,324.39612,322.24023,322.5322,308.1859,274.52753,302.27734,293.31268,296.5046,298.03458,335.19476,-150245.77,10204.038,-5972.214,-97742.74,255.4448,255.4448,177970.53,4341.7593,25926.121,164017.38,32751.03,159.6264,5042.097,69153.45,3610.6704
8,1980-09-10,321.4031,332.73114,324.78336,323.9137,272.71185,347.99838,330.90643,294.74554,331.3314,306.46674,252.25867,321.629,331.32376,327.83167,343.58813,331.53995,324.4877,322.24124,322.26538,307.65665,274.54684,301.69382,293.34143,296.32553,298.12366,335.20987,-161273.52,1206.4233,-4521.534,-96420.69,255.4448,255.4448,179895.12,4439.035,23796.791,167757.94,23588.543,92.91803,4963.719,70311.34,4679.4526
9,1980-09-17,321.4275,332.73947,324.65234,323.78064,272.65875,347.83835,330.90387,294.7038,328.31656,306.52078,252.5986,321.5886,331.2766,327.82495,343.5572,331.57767,324.53293,322.2584,322.24384,307.84082,274.56418,302.1982,293.36832,296.15778,298.16037,335.2236,-162535.3,-1958.5348,-4778.792,-96799.61,255.4448,255.4448,178904.6,4431.8315,24392.293,171396.75,22118.941,74.44034,4969.0664,70270.09,4230.849
10,1980-09-24,321.55325,332.77304,324.59824,323.72693,272.6517,348.15128,331.11923,294.93524,337.33456,307.51587,253.47243,321.56775,331.24222,327.8774,343.44598,331.65536,324.58792,322.35364,322.29834,308.14972,274.60922,303.17603,293.43515,296.0827,298.18912,335.25674,-168248.83,-7394.3154,-7601.9087,-101354.21,255.4448,255.4448,174535.06,4460.3545,25399.963,177001.78,19117.365,105.69527,4695.147,70170.16,3352.746
11,1980-10-01,321.52274,332.7367,324.5364,323.67282,272.62796,348.14636,331.19388,294.8765,328.36078,305.8605,252.15002,321.5398,331.012,327.7351,343.28098,331.64832,324.63834,322.34567,322.13428,307.43893,274.63046,302.69617,293.47046,295.95895,298.19412,335.27344,-160286.69,-1422.5857,-3176.2651,-91924.98,3100.0,1500.0,169483.28,4526.4897,23482.174,169716.97,21326.902,77.59561,4804.209,70232.27,4915.3467
12,1980-10-08,321.44086,332.62204,324.43057,323.5751,272.59213,347.788,330.981,294.52374,314.47992,304.71017,251.49437,321.4869,330.77,327.6016,343.11914,331.54248,324.63907,322.28476,322.02832,307.22464,274.6181,302.1014,293.46033,295.80905,298.16495,335.2666,-156168.52,482.1156,-576.0452,-88097.99,3100.0,1500.0,165560.1,4464.178,23029.998,165978.23,22290.1,18.858627,5127.8325,69877.53,5423.859
13,1980-10-15,321.39798,332.48465,324.31006,323.45288,272.5508,347.45807,330.7521,294.19467,306.68625,304.2456,251.30411,321.42743,330.58344,327.477,342.95285,331.42267,324.6196,322.24384,321.91287,307.10193,274.60107,301.71786,293.4449,295.6347,298.12283,335.2564,-157969.22,-2766.4692,-424.89624,-88013.555,3100.0,1500.0,161991.3,4353.662,22611.727,165943.48,19219.22,-15.1609955,5278.4766,69631.3,5518.019
14,1980-10-22,321.37473,332.32962,324.17603,323.31824,272.50085,347.19632,330.55673,293.89294,302.48636,303.95657,251.25554,321.35352,330.36224,327.3368,342.72855,331.2956,324.59045,322.21188,321.79263,306.97522,274.58423,301.47162,293.4308,295.43286,298.06528,335.24622,-158553.39,-5492.5264,-505.46265,-87082.695,3100.0,1500.0,156370.72,4248.694,22213.84,165522.58,16578.398,-24.835556,5334.161,69226.42,5511.959
15,1980-10-29,321.36194,332.15262,324.06097,323.21756,272.45776,346.98953,330.3944,293.60104,299.86557,303.84018,251.20998,321.27405,330.08554,327.19803,342.488,331.1673,324.55316,322.1868,321.7249,306.90982,274.56747,301.46887,293.4179,295.28534,297.99216,335.23602,-154138.81,-3636.2722,757.03314,-85561.14,3100.0,1500.0,150776.92,4157.2085,22389.607,162323.48,18530.0,-39.65226,5448.0444,68686.695,5516.626
