,adequate_pen
hds_g40_0367,315.84581272115406
hds_g40_0415,318.7593583173077
hds_g40_0416,316.6217687307693
hds_g40_0041,315.7820408846154
hds_g40_0366,270.17714160576924
hds_up_mang,332.90902003846173
hds_low_mang,323.3801028653845
hds_sub_terrace,280.18506550000035
hds_butterfield,287.27462408653844
hds_camphill_air,294.06729349038466
hds_sandypoint,245.05380332692317
hds_te_awa,315.7107524807692
hds_haw_town,316.04658055769255
hds_burdon,317.05285426923075
hds_ne_moraine,328.56647825000005
hds_cameron,319.179643701923
hds_n_hawflat,318.0362433653845
hds_hawflat,316.45433244230776
hds_haw_domain,313.92212213461517
hds_w_hawflat,299.93118204807706
hds_s_terrace,271.8471781346153
hds_mid_e_terrace,287.187933875
hds_mid_terrace,290.07675373076927
hds_nw_terrace,287.7235857788464
hds_n_mid_terrace,291.9908827884614
hds_ne_terrace,327.7098514903846
