well_name,nztmx,nztmy,group,type,i,j
up_mang,1297687.5678181476,5051318.650053312,mangawera,indicator,46,14
low_mang,1299910.7147634265,5049253.546729735,mangawera,indicator,66,36
sub_terrace,1300416.4543528738,5044933.687736539,w_terrace,indicator,109,41
butterfield,1299447.1201397665,5046240.181675945,rzone,indicator,96,31
camphill_air,1301259.3536686192,5047989.197756117,rzone,indicator,79,50
sandypoint,1307602.1710196042,5039486.450908534,south,indicator,164,113
te_awa,1302081.1805014708,5051582.056089481,midflat,indicator,43,58
haw_town,1303313.9207507488,5053309.999686759,lakeside,indicator,26,70
burdon,1304409.689861218,5051961.360781566,midflat,indicator,39,81
ne_moraine,1307238.6706896885,5054811.414092929,lakeside,indicator,11,109
cameron,1306806.6847903691,5051829.657763479,midflat,indicator,40,105
n_hawflat,1305696.9111156503,5049747.259640472,haw_flat,indicator,61,94
hawflat,1305257.8572976866,5048468.596741944,haw_flat,indicator,74,90
haw_domain,1303593.1311490892,5050080.6416833075,haw_flat,indicator,58,73
w_hawflat,1303298.1163885782,5048110.364532752,haw_flat,indicator,78,70
s_terrace,1307301.8881383694,5041514.677387043,south,indicator,144,110
mid_e_terrace,1307449.3955186247,5044612.332372407,terrace,indicator,113,111
mid_terrace,1304414.9579819408,5044549.114923727,terrace,indicator,113,81
nw_terrace,1302096.9848636407,5045897.7538289195,w_terrace,indicator,100,58
n_mid_terrace,1304119.94322143,5046614.218247304,terrace,indicator,93,78
ne_terrace,1306901.5109633903,5046824.94307624,terrace,indicator,91,106
