Series 1: ,,
X,Y,
12.0223949,20.09125194,
13.44404964,18.22098281,
14.67050822,16.72784703,
16.31393062,16.78462553,
18.90419616,17.25799363,
20.12969238,17.49227181,
21.1899856,14.26594797,
22.38431245,20.44924525,
23.58334412,18.18740757,
27.31735979,15.62927376,
31.04859535,18.06144696,
32.88667929,18.70076656,
35.86519862,22.2585657,
38.67723182,24.65898143,
44.13213888,33.10080164,
44.9118543,33.51161714,
46.86018052,36.26606987,
47.66849905,35.33430352,
48.8921775,38.83147475,
52.59908705,34.92883439,
54.35585262,31.53463436,
56.30556889,31.79393357,
57.47439353,33.75370103,
59.53584905,33.44104498,
62.01469612,33.91056369,
63.4638847,32.61706157,
64.49397089,33.61234286,
65.68979473,37.10855174,
69.03309727,35.88048926,
70.12038969,34.19060685,
73.15611524,35.06324228,
74.82664377,36.46452733,
77.1664316,36.54536453,
80.64943494,34.55437424,
83.15870288,30.41841805,
85.35836221,32.0299226,
89.75714623,36.21260611,
90.39780243,36.23474011,
91.34507326,35.88359016,
92.93332107,34.97876954,
95.9180422,27.40434532,
98.28600543,26.91034021,
99.7054147,29.07070368,
,,
X -axis,,
X,Y,Actual (yy/mm)
0.055923089,-0.091850733,7601
3.677130237,-0.158680429,7604
7.270268912,0.157397299,7607
10.9194376,-0.100404934,7610
14.48493552,-0.169159325,7701
18.02247189,-0.046941178,7704
21.64346518,0.270098897,7707
25.26477925,0.011334316,7710
28.85791793,0.327412044,7801
32.3121043,0.062873378,7804
35.82167913,0.376064062,7807
39.47052704,0.694066485,7810
43.03613188,0.433377209,7901
46.62959133,0.173650281,7904
50.08367078,0.1010465,7907
53.48182713,0.410387794,7910
57.07528659,0.150660865,8001
60.66863912,0.082868822,8004
64.09497088,-0.182632192,8007
67.8550234,0.523089392,8010
71.30899592,0.642420497,8101
74.81899845,0.18787164,8104
78.35664175,0.118154902,8107
81.86643043,0.047475816,8110
85.54302603,0.558375472,8201
88.88600779,-0.093882356,8204
92.4233303,0.412205562,8207
95.98904207,-0.0404186,8210
99.61003536,0.276621476,8301
,,
Y - axis,,
X,Y,Actual (cm)
-2.81310247,-0.190972538,31000
-2.882498425,24.3747681,32000
-2.784873606,49.13821771,33000
-2.7984534,73.51394816,34000
-2.784178578,97.89064096,35000
