Date,WM0999,WM1054,Combined,Litre_per_sec
11/09/2014,0,179.55,179.55,2.078125
12/09/2014,0,179.1,179.1,2.072916667
13/09/2014,0,172.8,172.8,2
14/09/2014,0,172.8,172.8,2
15/09/2014,0,174.6,174.6,2.020833333
16/09/2014,21616.65,295.2,21911.85,253.609375
17/09/2014,68374.8,75.6,68450.4,792.25
18/09/2014,64458,111.6,64569.6,747.3333333
19/09/2014,25261.65,172.8,25434.45,294.3802083
20/09/2014,0,177.3,177.3,2.052083333
21/09/2014,0,178.2,178.2,2.0625
22/09/2014,0,174.6,174.6,2.020833333
23/09/2014,104.85,173.7,278.55,3.223958333
24/09/2014,0,172.8,172.8,2
25/09/2014,0,180,180,2.083333333
26/09/2014,0,173.7,173.7,2.010416667
27/09/2014,0,176.4,176.4,2.041666667
28/09/2014,0,176.4,176.4,2.041666667
29/09/2014,0,177.3,177.3,2.052083333
30/09/2014,0,181.8,181.8,2.104166667
1/10/2014,0,181.8,181.8,2.104166667
2/10/2014,0,187.2,187.2,2.166666667
3/10/2014,0,177.3,177.3,2.052083333
4/10/2014,0,180.9,180.9,2.09375
5/10/2014,0,175.5,175.5,2.03125
6/10/2014,0,177.3,177.3,2.052083333
7/10/2014,0,178.2,178.2,2.0625
8/10/2014,0,179.1,179.1,2.072916667
9/10/2014,0,181.8,181.8,2.104166667
10/10/2014,0,173.7,173.7,2.010416667
11/10/2014,31364.1,176.4,31540.5,365.0520833
12/10/2014,56386.35,173.7,56560.05,654.6302083
13/10/2014,57800.7,173.7,57974.4,671
14/10/2014,21523.5,176.4,21699.9,251.15625
15/10/2014,0,173.7,173.7,2.010416667
16/10/2014,0,173.7,173.7,2.010416667
17/10/2014,12847.05,176.4,13023.45,150.734375
18/10/2014,45956.25,6148.35,52104.6,603.0625
19/10/2014,41240.25,8443.8,49684.05,575.046875
20/10/2014,41500.8,8387.1,49887.9,577.40625
21/10/2014,42167.25,8457.3,50624.55,585.9322917
22/10/2014,74819.25,12210.3,87029.55,1007.286458
23/10/2014,92942.55,14149.8,107092.35,1239.494792
24/10/2014,93035.25,14671.35,107706.6,1246.604167
25/10/2014,91431.45,15262.2,106693.65,1234.880208
26/10/2014,74326.05,13077.45,87403.5,1011.614583
27/10/2014,38151.45,8867.7,47019.15,544.203125
28/10/2014,69930.9,13876.65,83807.55,969.9947917
29/10/2014,73852.65,19783.35,93636,1083.75
30/10/2014,69407.1,17679.15,87086.25,1007.942708
31/10/2014,44991.9,15135.3,60127.2,695.9166667
1/11/2014,0,20.7,20.7,0.239583333
2/11/2014,0,0,0,0
3/11/2014,21762.45,7657.65,29420.1,340.5104167
4/11/2014,39610.35,11880.45,51490.8,595.9583333
5/11/2014,40604.4,10974.6,51579,596.9791667
6/11/2014,40779.45,11151,51930.45,601.046875
7/11/2014,41143.5,11191.95,52335.45,605.734375
8/11/2014,37255.05,15549.75,52804.8,611.1666667
9/11/2014,34133.85,21654.45,55788.3,645.6979167
10/11/2014,33913.8,23018.85,56932.65,658.9427083
11/11/2014,34152.3,23917.95,58070.25,672.109375
12/11/2014,34166.25,24746.4,58912.65,681.859375
13/11/2014,34600.95,25290,59890.95,693.1822917
14/11/2014,34730.55,25636.05,60366.6,698.6875
15/11/2014,69779.25,24251.4,94030.65,1088.317708
16/11/2014,92483.1,24059.25,116542.35,1348.869792
17/11/2014,91364.85,24787.35,116152.2,1344.354167
18/11/2014,90086.4,24205.95,114292.35,1322.828125
19/11/2014,75335.4,15044.4,90379.8,1046.0625
20/11/2014,41200.2,14455.35,55655.55,644.1614583
21/11/2014,33256.8,22605.3,55862.1,646.5520833
22/11/2014,31402.8,24432.3,55835.1,646.2395833
23/11/2014,31943.25,24690.15,56633.4,655.4791667
24/11/2014,31407.75,24971.4,56379.15,652.5364583
25/11/2014,68130.9,28286.1,96417,1115.9375
26/11/2014,79061.85,17262.45,96324.3,1114.864583
27/11/2014,40027.5,13323.15,53350.65,617.484375
28/11/2014,31894.65,21199.5,53094.15,614.515625
29/11/2014,32331.15,21216.6,53547.75,619.765625
30/11/2014,32681.7,21801.15,54482.85,630.5885417
1/12/2014,33142.5,22066.65,55209.15,638.9947917
2/12/2014,33218.55,22352.4,55570.95,643.1822917
3/12/2014,33283.8,22659.3,55943.1,647.4895833
4/12/2014,68914.35,20665.35,89579.7,1036.802083
5/12/2014,92998.8,19454.85,112453.65,1301.546875
6/12/2014,93055.05,19353.6,112408.65,1301.026042
7/12/2014,93096.9,19465.65,112562.55,1302.807292
8/12/2014,94073.4,19575.45,113648.85,1315.380208
9/12/2014,93982.95,19752.3,113735.25,1316.380208
10/12/2014,94042.8,19930.5,113973.3,1319.135417
11/12/2014,94054.5,20022.75,114077.25,1320.338542
12/12/2014,94333.5,20086.65,114420.15,1324.307292
13/12/2014,97191.9,20153.7,117345.6,1358.166667
14/12/2014,94919.4,20336.4,115255.8,1333.979167
15/12/2014,93582.45,20407.05,113989.5,1319.322917
16/12/2014,80714.7,17758.35,98473.05,1139.734375
17/12/2014,56782.8,11920.05,68702.85,795.171875
18/12/2014,93186.9,20213.55,113400.45,1312.505208
19/12/2014,93119.4,20222.55,113341.95,1311.828125
20/12/2014,92842.2,20334.15,113176.35,1309.911458
21/12/2014,94152.15,20469.15,114621.3,1326.635417
22/12/2014,79468.2,18272.7,97740.9,1131.260417
23/12/2014,96845.4,22935.6,119781,1386.354167
24/12/2014,75431.25,17411.85,92843.1,1074.572917
25/12/2014,65441.25,14148,79589.25,921.171875
26/12/2014,96848.55,20835.45,117684,1362.083333
27/12/2014,95076.45,20667.15,115743.6,1339.625
28/12/2014,93922.65,20877.3,114799.95,1328.703125
29/12/2014,93942.45,21118.95,115061.4,1331.729167
30/12/2014,93082.95,21274.2,114357.15,1323.578125
31/12/2014,90954.9,21382.2,112337.1,1300.197917
1/01/2015,92786.4,21490.2,114276.6,1322.645833
2/01/2015,92857.95,21667.95,114525.9,1325.53125
3/01/2015,77130,18931.05,96061.05,1111.817708
4/01/2015,72480.15,19956.6,92436.75,1069.869792
5/01/2015,74334.6,20698.65,95033.25,1099.921875
6/01/2015,76100.85,20743.65,96844.5,1120.885417
7/01/2015,78459.75,20479.95,98939.7,1145.135417
8/01/2015,79973.55,19548.45,99522,1151.875
9/01/2015,81542.25,17517.6,99059.85,1146.526042
10/01/2015,81477.9,17225.1,98703,1142.395833
11/01/2015,81331.2,16866,98197.2,1136.541667
12/01/2015,81274.95,16668,97942.95,1133.598958
13/01/2015,80970.3,16434.9,97405.2,1127.375
14/01/2015,80579.25,16488.45,97067.7,1123.46875
15/01/2015,80365.05,16666.65,97031.7,1123.052083
16/01/2015,80574.75,16491.15,97065.9,1123.447917
17/01/2015,80873.55,16328.25,97201.8,1125.020833
18/01/2015,81104.85,16189.2,97294.05,1126.088542
19/01/2015,83380.95,16163.55,99544.5,1152.135417
20/01/2015,81757.8,16156.8,97914.6,1133.270833
21/01/2015,80702.55,16078.05,96780.6,1120.145833
