Well Number,Description,Depth,Geology,Lithology
G40/0665,GRAVELS with BOULDERS,26.6,,BOGR
G40/0665,Very Silty GRAVELS,26.9,,GRSI
G40/0665,Blue SILT,29,,SI
G40/0664,GRAVEL,43.3,,GR
G40/0664,Brown SILT,46.1,,SI
G40/0664,Blue SILT,47,,SI
G40/0661,CLAY,1.3,,CL
G40/0661,Claybound GRAVELS,9.9,,GRCL
G40/0661,CLAY,10.8,,CL
G40/0661,Claybound GRAVELS,11.7,,GRCL
G40/0661,CLAY,13,,CL
G40/0661,Heavy Claybound GRAVELS,16.5,,GRCL
G40/0661,Red CLAY,19.8,,CL
G40/0661,Claybound GRAVELS,22,,GRCL
G40/0661,CLAY,22.4,,CL
G40/0661,Claybound GRAVELS,23.3,,GRCL
G40/0661,Red CLAY,23.4,,CL
G40/0660,SOIL,0.4,,SOIL
G40/0660,"Brown GRAVEL/SAND, large",2,,CGRSA
G40/0660,Brown (rust) GRAVEL/SAND,2.1,,GRSA
G40/0660,Brown GRAVEL/SAND,2.6,,GRSA
G40/0660,"Brown GRAVEL, very Sandy",4.3,,GRSA
G40/0660,"Brown GRAVEL, SAND",5.1,,GRSA
G40/0660,"Brown GRAVEL, very Sandy",5.9,,GRSA
G40/0660,"Brown GRAVEL, SAND",11.5,,GRSA
G40/0660,Blue SCHIST ROCK,11.75,,SCHIST
G40/0660,"Brown GRAVEL, SAND",12.4,,GRSA
G40/0660,Blue SCHIST ROCK,12.65,,SCHIST
G40/0660,"Brown GRAVEL, SAND",22,,GRSA
G40/0660,Brown large GRAVELS,24,,CGR
G40/0660,"Brown (rust) GRAVEL, SAND",24.1,,GRSA
G40/0660,"Brown large GRAVEL, SAND",25.4,,CGRSA
G40/0660,"Brown GRAVELS, SAND",27.5,,GRSA
G40/0660,Blue SCHIST basement ,29,,SCHIST
G40/0498,TOPSOIL,0.3,,SOIL
G40/0498,VERY Silty fine GRAVELS,31.5,,GRSI
G40/0498,Sandy coarse GRAVEL,30.1,,CGRSA
G40/0498,SANDS ODD GRAVEL,4.9,,GRSA
G40/0498,Silts,32.5,,SI
G40/0470,TOPSOIL,0.2,,SOIL
G40/0470,GRAVELS,25.4,,GR
