ConsentID,WellNumber,MaxFlowRate,StreamDepletionFlow,MaxHourlyVolume,MaxdailyVolume,MaxWeeklyVolume,MaxMonthlyVolume,MaxYearlyVolume,Aquifer,B1_APPL_STATUS,#Wells,WM_Accela,#WaterMeters,FMU,Rohe,Type,WellsDtbAquifer,B1_X_COORD,B1_Y_COORD,EastingTM,NorthingTM,ConsentCommencementDate,ConsentExpiryDate,ConsentIssued,Consumptive,USE1,USE2
2000.043,,3,,,,,,,,Expired – Pending Application,,,,,,Surface Take,,1301050.5,5058005,,,09/07/2001,06/27/2021,09/07/2001,Yes,,
2000.532,,200,,,,,,,,Current,,,,,,Groundwater Take,,1317192,4982556,,,04/04/2001,01/01/2036,04/04/2001,No,Flood Prevention,Flood Prevention
2000.662,,200,,,,,,,,Current,,,,,,Groundwater Take,,1316692,4982156,,,05/01/2001,04/01/2036,05/01/2001,No,Flood Prevention,Flood Prevention
2000.666,,200,,,,,,,,Current,,,,,,Groundwater Take,,1316893,4982056,,,05/01/2001,04/01/2036,05/01/2001,No,Flood Prevention,Flood Prevention
2001.123,,,,,,,,,,Current,,WM0035,1,,,Surface Take,,1422632,5011818,,,08/13/2004,09/01/2024,08/13/2004,Yes,,
2001.234,,,,,,,,,,Current,,WM0046,2,,,Surface Take,,1352994,4931034,,,10/14/2003,05/05/2038,10/14/2003,Yes,,
2001.234,,,,,,,,,,Current,,WM1491,2,,,Surface Take,,1352994,4931034,,,10/14/2003,05/05/2038,10/14/2003,Yes,,
2001.235,,,,,,,,,,Current,,WM0147,1,,,Surface Take,,1365507,4914888,,,10/14/2003,05/05/2038,10/14/2003,No,,
2001.238,,,,,,,,,,Current,,WM0148,1,,,Surface Take,,1365409,4913788,,,10/14/2003,05/05/2038,10/14/2003,No,,
2001.243,,,,,,,,,,Current,,WM0149,1,,,Surface Take,,1366112,4911888,,,10/14/2003,05/05/2038,10/14/2003,No,,
2001.245,,,,,,,,,,Current,,WM0150,1,,,Surface Take,,1367915,4910391,,,10/14/2003,05/05/2038,10/14/2003,No,,
2001.389,,,,,,,,,,Current,,,,,,Surface Take,,1302491,5053529,,,03/29/2007,05/25/2042,03/29/2007,Yes,,
2001.390,,,,,,,,,,Current,,,,,,Surface Take,,1309778,4990554,,,03/29/2007,05/25/2042,03/29/2007,No,,
2001.391,,,,,,,,,,Current,,,,,,Surface Take,,1312619,4957633,,,03/29/2007,05/25/2042,03/29/2007,No,,
2001.399,,,,,,,,,,Current,,,,,,Surface Take,,1302491,5053529,,,03/29/2007,05/25/2042,03/29/2007,No,,
2001.476.V3,,,,,,,,,,Current,,Teviot at Downstream Onslow Dam,1,,,Surface Take,,1333942,4950257,,,12/13/2006,04/01/2041,12/13/2006,No,,
2001.476.V3,,,,,,,,,,Current,,WM0050,1,,,Surface Take,,1333942,4950257,,,12/13/2006,04/01/2041,12/13/2006,No,,
2001.480.V2,,2832,,,,,,,,Current,,WM0052,2,,,Surface Take,,1316931,4951234,,,12/13/2006,04/01/2041,12/13/2006,Yes,,
2001.480.V2,,2832,,,,,,,,Current,,WM0053,2,,,Surface Take,,1316931,4951234,,,12/13/2006,04/01/2041,12/13/2006,Yes,,
2001.481.V1,,,,,,,,,,Current,,WM0095,1,,,Surface Take,,1316931,4951234,,,12/13/2006,04/01/2041,12/13/2006,No,,
2001.486.V2,,3850,,,,,,,,Current,,WM0096,4,,,Surface Take,,1315729,4951533,,,12/13/2006,04/01/2041,12/13/2006,Yes,,
2001.486.V2,,3850,,,,,,,,Current,,WM0097,4,,,Surface Take,,1315729,4951533,,,12/13/2006,04/01/2041,12/13/2006,Yes,,
2001.486.V2,,3850,,,,,,,,Current,,WM0160,4,,,Surface Take,,1315729,4951533,,,12/13/2006,04/01/2041,12/13/2006,Yes,,
2001.486.V2,,3850,,,,,,,,Current,,WM0170,4,,,Surface Take,,1315729,4951533,,,12/13/2006,04/01/2041,12/13/2006,Yes,,
2001.593,,141.6,,,,,,,,Expired – Pending Application,,WM1217R,1,,,Surface Take,,1343493,4996593,,,11/01/2005,10/01/2021,11/01/2005,Yes,,
2001.597,,566,,,,,,,,Expired – Pending Application,,WM0173,1,,,Surface Take,,1348817,4977089,,,11/01/2005,10/01/2021,11/01/2005,Yes,,
2001.606,,566,,,,,,,,Expired – Pending Application,,WM0161,1,,,Surface Take,,1333611,4974770,,,11/01/2005,10/01/2021,11/01/2005,Yes,,
2001.608,,113.2,,,,,,,,Expired – Pending Application,,WM1218R,1,,,Surface Take,,1345492,4998996,,,11/01/2005,10/01/2021,11/01/2005,Yes,,
2001.650.V2,,2000,,,,,,,,Current,,WM0099,1,,,Surface Take,,1306077,4989049,,,01/09/2007,10/01/2041,01/09/2007,No,,
2001.652,,1500,,,,,,,,Current,,,,,,Surface Take,,1306077,4989049,,,01/09/2007,10/01/2041,01/09/2007,No,,
2001.702,,1981,,,,,,,,Expired – Pending Application,,WM0122,2,,,Surface Take,,1347197,5014398,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2001.702,,1981,,,,,,,,Expired – Pending Application,,WM1576,2,,,Surface Take,,1347197,5014398,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2001.706,,424.5,,,,,,,,Expired – Pending Application,,WM0104,1,,,Surface Take,,1329279.5,5012629,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2001.708,,424.5,,,,,,,,Expired – Pending Application,,WM0105,1,,,Surface Take,,1344159.5,5021488,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2001.710,,424.5,,,,,,,,Expired – Pending Application,,WM0107,1,,,Surface Take,,1333875,5015277,,,02/17/2002,10/01/2021,02/17/2002,Yes,,
2001.712.V1,,84.9,,,,,,,,Expired – Pending Application,,WM0103,1,,,Surface Take,,1323963,5006065.5,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2001.714.V1,,28.3,,,,,,,,Expired – Pending Application,,WM0109,1,,,Surface Take,,1325111,5006670.5,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2001.715.V1,,56.6,,,,,,,,Expired – Pending Application,,WM0110,2,,,Surface Take,,1324965.667,5007667,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2001.715.V1,,56.6,,,,,,,,Expired – Pending Application,,WM0686,2,,,Surface Take,,1324965.667,5007667,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2001.716.V1,,28.3,,,,,,,,Expired – Pending Application,,WM0686,1,,,Surface Take,,1325894,5008112.5,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2001.719.V1,,113.2,,,,,,,,Expired – Pending Application,,WM0689,1,,,Surface Take,,1332090.667,5005169.667,,,09/17/2002,10/01/2021,09/17/2002,Yes,,
2002.035.V2,,,,,,,,,,Current,,,,,,Surface Take,,1425919.25,5013995.25,,,05/02/2002,03/02/2030,05/02/2002,Yes,,
2002.663.V1,,,,,,,,,,Current,,,,,,Surface Take,,1362478,5021921,,,02/07/2003,12/01/2037,02/07/2003,Yes,,
2003.289,,120,,,,,,,,Current,,,,,,Surface Take,,1268885,5063988,,,05/21/2003,05/20/2038,05/21/2003,No,,
2003.914,,,,,,,,,,Current,,,,,,Surface Take,,1360625,4974201,,,08/26/2005,08/01/2040,08/26/2005,No,,
2003.915,,,,,,,,,,Current,,,,,,Surface Take,,1361029,4970500,,,08/26/2005,08/01/2040,08/26/2005,No,,
2004.071,,,,,,,,,,Current,,,,,,Surface Take,,1398034,4974344,,,02/24/2005,08/01/2039,02/24/2005,No,,
2004.080,,,,,,,,,,Current,,,,,,Surface Take,,1398135,4973644,,,02/18/2005,08/01/2039,02/18/2005,No,,
2004.083,,,,,,,,,,Current,,,,,,Surface Take,,1399834,4974846,,,02/24/2005,08/01/2039,02/24/2005,No,,
2005.273,,,,,,,,,,Current,,,,,,Surface Take,,1377351,4956616,,,08/02/2005,01/01/2027,08/02/2005,Yes,,
2005.274,,,,,,,,,,Current,,,,,,Surface Take,,1377950,4957417,,,08/02/2005,01/01/2027,08/02/2005,Yes,,
2005.451.V1,,,,,,,,,,Current,,WM0825,1,,,Surface Take,,1281454,4990224,,,11/17/2005,11/01/2025,11/17/2005,No,,
2006.632,,,,,,,,,,Current,,,,,,Surface Take,,1302521,5053496,,,07/16/2007,07/20/2042,07/16/2007,No,,
2007.147.V1,,1500,,,,,,,,Current,,WM0012,1,,,Surface Take,,1330671,4928940,,,09/17/2007,09/12/2042,09/17/2007,No,,
