#,m3/s,m3/s,l/s,l/s,
date,Graview Ck at LHS m3/s,Lagoon Ck at MGH m3/s,Grandview Ck at LHS l/s,Lagoon Ck at MGH l/s,Luggate (Nat) l/s
22/08/2017 0:00,0.279256349,0.156405845,279.256349,156.405845,3429
23/08/2017 0:00,0.248656952,0.133578285,248.656952,133.578285,3136
24/08/2017 0:00,0.218912533,0.121755687,218.912533,121.755687,2894
25/08/2017 0:00,0.195041436,0.114015103,195.041436,114.015103,2721
26/08/2017 0:00,0.180999546,0.107858324,180.999546,107.858324,2830
27/08/2017 0:00,0.181192357,0.102063113,181.192357,102.063113,3074
28/08/2017 0:00,0.181195631,0.100034089,181.195631,100.034089,3245
29/08/2017 0:00,0.174243026,0.094877345,174.243026,94.877345,2945
30/08/2017 0:00,0.160773157,0.087372085,160.773157,87.372085,3126
31/08/2017 0:00,0.148825247,0.079661367,148.825247,79.661367,3124
1/09/2017 0:00,0.139742506,0.073395401,139.742506,73.395401,2778
2/09/2017 0:00,0.13129598,0.069824807,131.29598,69.824807,2547
3/09/2017 0:00,0.123878452,0.066144757,123.878452,66.144757,2410
4/09/2017 0:00,0.115205425,0.06102093,115.205425,61.02093,2399
5/09/2017 0:00,0.109246807,0.058155525,109.246807,58.155525,2601
6/09/2017 0:00,0.147112073,0.073066106,147.112073,73.066106,3004
7/09/2017 0:00,0.147407191,0.073454632,147.407191,73.454632,3076
8/09/2017 0:00,0.13953079,0.069954328,139.53079,69.954328,2888
9/09/2017 0:00,0.140070983,0.073012372,140.070983,73.012372,2585
10/09/2017 0:00,0.138480745,0.073073757,138.480745,73.073757,2374
11/09/2017 0:00,0.136246611,0.069202561,136.246611,69.202561,2299
12/09/2017 0:00,0.138843929,0.06529465,138.843929,65.29465,2313
13/09/2017 0:00,0.141686932,0.064088503,141.686932,64.088503,2139
14/09/2017 0:00,0.145092042,0.063745389,145.092042,63.745389,2096
15/09/2017 0:00,0.244117299,0.070775003,244.117299,70.775003,2095
