,0,
0,Silty CLAY,clay
1,Silts,silt
2,Silty Sandy Clayboun,clay
3,Tight Silty Sandy GR,silt
4,Loose Silty Sandy GR,sand
5,SILT BANDS ODD GRAVE,silt
6,Coarse Sandy GRAVELS,gravel
7,BOULDER,boulder
8,Silty coarse GRAVELS,silt
9,Small Sandy GRAVELS,gravel
10,MEDIUM GRAVELS LIGHT,gravel
11,Small to medium Clay,clay
12,Damp Claybound GRAVE,clay
13,QUARTZ GRAVELS - WAT,gravel
14,top soil,topsoil
15,gravel,gravel
16,yellow clay,clay
17,silt some gravel,silt
18,light clay bound gravel,clay
19,sandy gravel,gravel
20,very sandy gravel,gravel
21,sand,sand
