permit_id,water_meter_no,percent missing days,percent days exceedence,percent months exceedence,percent years exceedence
2000.382.V1,1322,48.0,0.0,0.0,0.0
2000.388,1300,38.0,0.0,0.0,0.0
2001.122,1158,26.0,0.0,0.0,0.0
2001.791.V1,114,7.0,0.0,0.0,0.0
2001.953,1327,62.0,0.0,0.0,0.0
2001.953,1545,56.0,0.0,0.0,0.0
2002.159.V1,219,23.0,0.0,0.0,0.0
2002.336,415,9.0,0.0,0.0,0.0
2003.076.V1,303,13.0,0.0,0.0,0.0
2003.291.V1,324,8.0,0.0,0.0,0.0
2003.315.V1,329,0.0,0.0,0.0,0.0
2003.328.V1,331,19.0,0.0,0.0,0.0
2003.328.V1,332,12.0,0.0,0.0,0.0
2003.572.V1,343,0.0,0.0,0.0,0.0
2003.586,65,66.0,3.2,0.0,0.0
2003.590,345,5.0,0.0,0.0,0.0
2003.634.V1,347,34.0,0.0,0.0,0.0
2003.641,348,31.0,3.1,0.0,0.0
2003.754,358,7.0,0.0,0.0,0.0
2003.761,1229,70.0,34.3,25.0,28.6
2003.789.V1,360,12.0,0.0,0.0,0.0
2003.789.V1,361,18.0,0.0,0.0,0.0
2003.789.V1,362,12.0,0.2,0.0,0.0
2003.963.V1,376,8.0,0.0,0.0,0.0
2004.005.V1,741,2.0,0.0,0.0,0.0
2004.587,1152,12.0,0.0,0.0,0.0
2004.884.V1,786,17.0,0.0,0.0,0.0
2005.222.V1,438,0.0,0.0,1.2,14.3
2005.369.V2,441,2.0,0.0,0.0,0.0
2005.448.V2,824,6.0,0.0,0.0,0.0
2006.269.V1,860,10.0,0.0,0.0,0.0
2008.113.V1,475,2.0,0.0,0.0,0.0
2008.132,899,28.0,0.0,0.0,0.0
2008.235,597,100.0,0.0,0.0,0.0
2008.277.V2,902,28.0,0.0,0.0,0.0
2008.520.V1,1475,56.0,0.0,0.0,0.0
2008.520.V1,914,49.0,0.0,0.0,0.0
2008.520.V1,915,49.0,0.0,0.0,0.0
2009.150.V1,920,100.0,0.0,0.0,0.0
2010.075.V1,935,0.0,0.0,0.0,0.0
97204.V1,1317,51.0,0.0,0.0,0.0
99262,1054,3.0,0.0,0.0,0.0
99520,1548,100.0,0.0,0.0,0.0
RM10.365.01,1016,18.0,0.0,0.0,0.0
RM10.388.01.V2,1259,100.0,0.0,0.0,0.0
RM11.257.01,617,30.0,0.0,0.0,0.0
RM11.352.01,618,1.0,0.1,0.0,0.0
RM12.116.01,1058,100.0,0.0,0.0,0.0
RM12.120.03.V2,623,25.0,0.0,0.0,0.0
RM12.120.03.V2,642,100.0,0.0,0.0,0.0
RM12.213.02,625,2.0,0.0,0.0,0.0
RM12.338.02,1231,100.0,0.0,0.0,0.0
RM12.548.01.V2,1042,28.0,0.0,0.0,0.0
RM12.548.01.V2,1043,20.0,0.0,0.0,0.0
RM12.548.01.V2,1044,24.0,0.0,0.0,0.0
RM13.053.01,626,45.0,12.6,22.6,42.9
RM13.244.01,648,0.0,0.0,0.0,0.0
RM13.244.02,649,0.0,0.0,0.0,0.0
RM13.282.01,1089,100.0,0.0,0.0,0.0
RM13.307.01,1144,1.0,0.2,0.0,0.0
RM13.355.01,1127,100.0,0.0,0.0,0.0
RM13.369.01,653,6.0,0.0,0.0,0.0
RM13.420.04,1082,14.0,0.0,0.0,0.0
RM13.495.01,734,3.0,0.0,0.0,0.0
RM14.023.01,1104,3.0,0.0,0.0,0.0
RM14.073.01,1349,22.0,0.0,0.0,0.0
RM14.073.01,1350,46.0,0.0,0.0,0.0
RM14.073.01,1351,22.0,0.0,0.0,0.0
RM14.073.01,1352,22.0,0.0,0.0,0.0
RM14.122.01.V1,1585,99.0,0.0,0.0,0.0
RM14.165.01,1452,22.0,0.0,0.0,0.0
RM14.225.01,1165,96.0,0.0,0.0,0.0
RM14.278.01.V1,1407,0.0,0.0,1.2,0.0
RM14.306.01,1193,92.0,0.0,0.0,0.0
RM14.306.01,1194,92.0,0.0,0.0,0.0
RM14.342.01,1438,20.0,0.1,2.4,28.6
RM14.342.01,1439,20.0,0.0,1.2,14.3
RM14.342.01,G40/0422,84.0,0.0,0.0,0.0
RM15.010.01,1062,1.0,0.0,0.0,14.3
RM15.107.01.V1,1276,3.0,0.6,0.0,0.0
RM15.246.01,1164,81.0,0.0,0.0,0.0
RM15.288.02,974,70.0,0.0,0.0,0.0
RM16.057.01,1456,23.0,0.0,0.0,0.0
RM16.085.01,1341,74.0,0.0,0.0,0.0
RM16.158.02.V1,1442,6.0,0.0,0.0,0.0
RM16.187.01,660,5.0,0.0,0.0,0.0
RM16.191.01,1312,1.0,0.1,0.0,0.0
RM16.196.01.V1,1605,69.0,0.0,0.0,0.0
RM16.203.01,787,0.0,0.0,0.0,0.0
RM16.203.02,1583,59.0,0.0,0.0,0.0
RM16.305.01,1170,60.0,0.0,0.0,0.0
RM16.305.01,541,5.0,4.5,0.0,14.3
RM16.359.01,788,1.0,0.0,0.0,0.0
RM16.359.02,1484,4.0,0.0,0.0,0.0
RM17.077.01,218,1.0,1.1,2.4,0.0
RM17.234.01,1588,53.0,0.0,0.0,0.0
RM17.234.01,1589,53.0,0.0,0.0,0.0
RM18.096.01,1528,27.0,0.0,0.0,0.0
RM18.134.01,901,14.0,0.0,0.0,14.3
RM18.193.01,1505,8.0,0.0,0.0,0.0
RM18.310.01,1524,17.0,2.5,1.2,14.3
RM18.434.01,1574,23.0,0.0,0.0,0.0
RM18.434.01,1575,23.0,0.0,0.0,0.0
RM19.413.01,591,20.0,0.0,0.0,0.0
RM19.413.01,593,20.0,0.0,0.0,0.0
RM20.257.01,1565,11.0,0.0,0.0,0.0
99262,999,0.0,0.0,22.6,14.3
RM14.278.01.V1,1297,0.0,0.0,1.2,0.0
RM19.384.01,1228,0.0,0.0,1.2,0.0
RM18.322.01,1418,0.0,0.0,0.0,14.3
RM19.388.01,582,0.0,0.0,0.0,14.3
