permit_id,water_meter_no,date,total_allo,total_usage
2003.761,1229,2020-06-30,20160.0,82716.55616843552
2003.761,1229,2021-06-30,20160.0,551874.9999999964
2005.222.V1,438,2020-06-30,210000.0,1125275.9999977718
99262,999,2016-06-30,7192800.0,17597634.1659
RM13.053.01,626,2015-06-30,24000.0,48229.166666699995
RM13.053.01,626,2020-06-30,24000.0,1.59e+29
RM13.053.01,626,2021-06-30,24000.0,38914588.00267122
RM14.342.01,1438,2020-06-30,404250.0,1169414.2
RM14.342.01,1438,2021-06-30,404250.0,1008824.99999972
RM14.342.01,1439,2021-06-30,404250.0,1033675.4
RM15.010.01,1062,2017-06-30,134137.0,332204.0
RM16.305.01,541,2017-06-30,9651.5,86984.2999999967
RM18.134.01,901,2021-06-30,7756.0,20030.489999992868
RM18.310.01,1524,2021-06-30,708400.0,2150806.0
RM18.322.01,1418,2020-06-30,2804.0,17185.99999999873
RM19.388.01,582,2020-06-30,17101.0,91039.803867985
