River_name,raster_area,shp_area,px,py,group
ss0,328950,328950.0,1296910.9559140452,5052425.0,maungawera
ss2,566100,566100.0,1301551.0,5051448.165340456,flat_west
ss3,1041075,1041075.0,1301351.0,5052014.796267937,flat_west
ss4,1302075,1302075.0,1301851.0,5052761.408044356,flat_west
ss5,1107450,1107450.0,1298766.5736266694,5051425.0,maungawera
Cameron Gully,1631025,1631025.0,1308080.6879685745,5051625.0,flat_east
Drakes Creek,652725,652725.0,1308151.0,5052078.674251745,flat_east
Hospital Creek,4608675,4608675.0,1307951.0,5049371.962680426,flat_east
Grandview Creek,15044625,15044625.0,1308251.0,5053263.886498615,flat_east
John Creek,5688225,5688225.0,1308051.0,5054688.753691457,flat_east
ss11,274950,274950.0,1307851.0,5055403.551327671,flat_east
ss12,555525,555525.0,1308851.0,5042465.164224914,terrace_east
ss13,1351350,1351350.0,1308251.0,5045016.507039331,terrace_east
Lagoon Creek,7512975,7512975.0,1307951.0,5046524.310550222,terrace_east
ss15,1412325,1412325.0,1311530.110829437,5036225.0,south_east
ss16,395325,395325.0,1311551.0,5035765.22043604,south_east
Crook Burn,7644825,7644825.0,1309909.3807215516,5041425.0,south_east
ss18,276075,276075.0,1311351.0,5037322.084007717,south_east
ss19,449325,449325.0,1311351.0,5036670.181663738,south_east
Deep Gully,1843650,1843650.0,1311251.0,5038228.2204254335,south_east
ss22,1707300,1707300.0,1298920.9256502965,5047425.0,mt_brown
ss23,237150,237150.0,1309051.0,5042225.073244826,terrace_east
ss24,469350,469350.0,1309351.0,5041417.5458687255,south_east
ss25,761850,761850.0,1309300.165258164,5041825.0,terrace_east
ss26,956250,956250.0,1308551.0,5043115.214262231,terrace_east
ss27,253125,253125.0,1308251.0,5044643.479447106,terrace_east
ss28,1035225,1035225.0,1308351.0,5043985.319591245,terrace_east
ss29,513450,513450.0,1312151.0,5034806.272637818,south_east
ss30,306675,306675.0,1312105.9904205573,5035025.0,south_east
ss31,315000,315000.0,1312251.0,5034303.417129659,south_east
ss32,233775,233775.0,1312151.0,5034495.181541171,south_east
ss33,279000,279000.0,1312351.0,5034081.959539628,south_east
ss34,229725,229725.0,1312551.0,5033578.486457897,south_east
ss35,241200,241200.0,1313114.4029895873,5032925.0,south_east
ss36,695025,695025.0,1312759.3054269925,5033125.0,south_east
ss38,1912275,1912275.0,1310251.0,5039861.240534454,south_east
ss40,964350,964350.0,1310651.0,5039299.932415552,south_east
Trig Burn,1774800,1774800.0,1310251.0,5039742.602695195,south_east
ss42,1368675,1368675.0,1311059.148560208,5038832.04932114,south_east
ss43,3232350,3232350.0,1297851.3836351368,5052541.899911789,maungawera
ss44,665550,665550.0,1299750.3086831558,5050826.514087741,maungawera
ss37,1291275,1291275.0,1310912.711177474,5039039.193686008,south_east
ss39,1255275,1255275.0,1311864.072098975,5035681.881399319,south_east
