,potential_et,precipitation,reference_et,season,uncor_potential_et,month,year,uncor_precipitation
1950-01-01,4.45081366032454,0.06969545036554337,0.0,2,98.6,1,1950,0.21666668
1950-01-02,4.464715043262975,0.00765753909945488,0.0,2,98.93333,1,1950,0.1
1950-01-03,3.3296501035888255,0.0,0.0,2,71.71667,1,1950,0.0
1950-01-04,4.559941266393687,0.0,0.0,2,101.21667,1,1950,0.033333335
1950-01-05,3.6389604876117803,0.034245215356349945,0.0,2,79.13333,1,1950,0.15
1950-01-06,4.37157482302868,0.11400821805000305,0.0,2,96.700005,1,1950,0.29999998
1950-01-07,3.455459369184095,1.957419991493225,0.0,2,74.73333,1,1950,3.7666664
1950-01-08,2.337771317274119,1.2572779655456543,0.0,2,47.933334,1,1950,2.4499998
1950-01-09,3.5993413871461097,5.812632083892822,0.0,2,78.18334,1,1950,11.016666
1950-01-10,2.39337764448351,2.1612586975097656,0.0,2,49.266666,1,1950,4.1499996
1950-01-11,4.234643814718142,0.034245215356349945,0.0,2,93.416664,1,1950,0.15
1950-01-12,3.558331193839816,0.016520101577043533,0.0,2,77.2,1,1950,0.116666675
1950-01-13,4.0706052687687855,0.0,0.0,2,89.48334,1,1950,0.0
1950-01-14,4.630144363870695,0.0,0.0,2,102.9,1,1950,0.0
1950-01-15,4.776806022055878,0.0,0.0,2,106.416664,1,1950,0.0
1950-01-16,2.52335764314257,1.3015906810760498,0.0,2,52.383335,1,1950,2.533333
1950-01-17,3.515236270366146,0.06969543546438217,0.0,2,76.166664,1,1950,0.21666665
1950-01-18,4.6871406702828,0.0,0.0,2,104.26666,1,1950,0.0
1950-01-19,4.751087986346382,0.0,0.0,2,105.799995,1,1950,0.0
1950-01-20,4.760818954403287,0.0,0.0,2,106.033325,1,1950,0.0
1950-01-21,4.5627221793458945,0.0,0.0,2,101.28335,1,1950,0.0
1950-01-22,3.397767834533939,1.567467451095581,0.0,2,73.35,1,1950,3.033333
1950-01-23,4.796268276351947,0.0,0.0,2,106.88333,1,1950,0.0
1950-01-24,3.0224247679155063,0.6280366778373718,0.0,2,64.35,1,1950,1.2666669
1950-01-25,3.4123647638926853,2.6398367881774902,0.0,2,73.700005,1,1950,5.0499997
1950-01-26,3.6361798928418336,0.0,0.0,2,79.06666,1,1950,0.016666668
1950-01-27,3.3289551935330337,1.957419991493225,0.0,2,71.700005,1,1950,3.7666667
1950-01-28,2.423266254165666,10.882015228271484,0.0,2,49.983337,1,1950,20.550001
1950-01-29,3.271958568938669,0.0,0.0,2,70.333336,1,1950,0.0
1950-01-30,3.052313218506532,0.21149635314941406,0.0,2,65.066666,1,1950,0.48333335
1950-01-31,4.206145820603219,0.08742056787014008,0.0,2,92.73334,1,1950,0.25000003
1950-02-01,3.6500819121447883,0.6900744438171387,0.0,2,79.4,2,1950,1.3833333
1950-02-02,2.36974497530591,20.825807571411133,0.0,2,48.7,2,1950,39.250004
1950-02-03,1.261787811907274,4.102159023284912,0.0,2,22.133333,2,1950,7.8000007
1950-02-04,2.680445815804968,0.8230127692222595,0.0,2,56.150005,2,1950,1.6333333
1950-02-05,2.675580172685386,2.7639126777648926,0.0,2,56.033337,2,1950,5.283333
1950-02-06,4.120650565529413,0.16718356311321259,0.0,2,90.68333,2,1950,0.4
1950-02-07,2.666543955593143,0.17604611814022064,0.0,2,55.816666,2,1950,0.41666666
1950-02-08,3.0001822370317495,0.37102240324020386,0.0,2,63.816666,2,1950,0.78333336
1950-02-09,2.3203942704188147,0.0,0.0,2,47.516666,2,1950,0.016666668
1950-02-10,4.122736250243568,0.0,0.0,2,90.73334,2,1950,0.0
1950-02-11,4.164441035423394,0.4685105085372925,0.0,2,91.73334,2,1950,0.96666664
1950-02-12,3.375525621832442,1.9131072759628296,0.0,2,72.81667,2,1950,3.6833334
1950-02-13,3.9239432924013435,0.0,0.0,2,85.96667,2,1950,0.0
1950-02-14,3.7230652862094837,0.0,0.0,2,81.15,2,1950,0.0
1950-02-15,3.3783058984201295,0.2912593483924866,0.0,2,72.88334,2,1950,0.6333333
1950-02-16,2.631790180064795,0.1405959129333496,0.0,2,54.983337,2,1950,0.35000002
1950-02-17,2.870897307519612,4.394623756408691,0.0,2,60.716663,2,1950,8.350001
1950-02-18,2.8500449149296987,1.0623018741607666,0.0,2,60.216663,2,1950,2.0833335
1950-02-19,3.0265951827970365,0.0,0.0,2,64.45,2,1950,0.05
1950-02-20,3.115565624514322,0.0,0.0,2,66.583336,2,1950,0.016666668
1950-02-21,2.5129312877564836,6.184859752655029,0.0,2,52.13333,2,1950,11.716667
1950-02-22,3.079421392509871,0.043107770383358,0.0,2,65.71667,2,1950,0.16666667
1950-02-23,3.325479370525035,0.0,0.0,2,71.61666,2,1950,0.016666668
1950-02-24,3.623668648197242,0.0,0.0,2,78.76666,2,1950,0.016666668
1950-02-25,2.3634895120747443,0.9648137092590332,0.0,2,48.550007,2,1950,1.9
1950-02-26,3.141283023859298,0.0,0.0,2,67.19999,2,1950,0.0
1950-02-27,3.855130333218179,0.06969543546438217,0.0,2,84.316666,2,1950,0.21666665
1950-02-28,2.423961164221458,3.1981778144836426,0.0,2,50.0,2,1950,6.1
1950-03-01,3.057286455295781,0.3267095983028412,0.0,3,71.75,3,1950,0.7
1950-03-02,2.4463114478660106,0.6546242237091064,0.0,3,57.100002,3,1950,1.3166667
1950-03-03,3.110112346826355,0.0,0.0,3,73.01666,3,1950,0.05
1950-03-04,2.449091724453698,0.0,0.0,3,57.166668,3,1950,0.06666667
