,i,j,param,k
7,29,63,all,0
8,30,61,all,0
9,30,63,all,0
10,31,61,all,0
11,31,63,all,0
12,32,61,all,0
13,32,63,all,0
14,33,61,all,0
15,33,63,all,0
16,34,61,all,0
17,34,63,all,0
18,35,61,all,0
19,35,62,all,0
20,35,63,all,0
21,35,64,all,0
22,35,70,all,0
23,35,71,all,0
24,35,72,all,0
25,35,73,all,0
26,35,74,all,0
27,36,62,all,0
28,36,64,all,0
29,36,68,all,0
30,36,69,all,0
31,36,70,all,0
32,36,74,all,0
33,37,62,all,0
34,37,64,all,0
35,37,65,all,0
36,37,67,all,0
37,37,68,all,0
38,37,74,all,0
39,37,75,all,0
40,38,62,all,0
41,38,63,all,0
42,38,66,all,0
43,38,67,all,0
44,38,74,all,0
45,38,75,all,0
46,38,80,all,0
47,39,63,all,0
48,39,67,all,0
49,39,68,all,0
50,39,75,all,0
51,39,76,all,0
52,39,77,all,0
53,39,78,all,0
54,39,79,all,0
55,39,80,all,0
56,39,81,all,0
57,39,82,all,0
58,39,83,all,0
59,39,84,all,0
60,40,63,all,0
61,40,68,all,0
62,40,75,all,0
63,40,76,all,0
64,40,84,all,0
65,40,85,all,0
66,40,86,all,0
67,41,63,all,0
68,41,68,all,0
69,41,69,all,0
70,41,86,all,0
71,41,87,all,0
72,42,63,all,0
73,42,69,all,0
74,42,87,all,0
75,43,63,all,0
76,43,69,all,0
77,43,87,all,0
78,43,88,all,0
79,44,62,all,0
80,44,63,all,0
81,44,69,all,0
82,44,70,all,0
83,44,88,all,0
84,44,89,all,0
85,44,90,all,0
86,45,62,all,0
87,45,70,all,0
88,45,74,all,0
89,45,75,all,0
90,45,90,all,0
91,46,62,all,0
92,46,70,all,0
93,46,71,all,0
94,46,72,all,0
95,46,73,all,0
96,46,74,all,0
97,46,75,all,0
98,46,76,all,0
99,46,90,all,0
100,46,91,all,0
101,46,92,all,0
102,47,62,all,0
103,47,72,all,0
104,47,73,all,0
105,47,75,all,0
106,47,76,all,0
107,47,92,all,0
108,47,93,all,0
109,48,61,all,0
110,48,62,all,0
111,48,75,all,0
112,48,93,all,0
113,49,61,all,0
114,49,75,all,0
115,49,93,all,0
116,49,94,all,0
117,49,95,all,0
118,50,60,all,0
119,50,61,all,0
120,50,74,all,0
121,50,75,all,0
122,50,95,all,0
123,50,96,all,0
124,51,60,all,0
125,51,74,all,0
126,51,96,all,0
127,52,60,all,0
128,52,74,all,0
129,52,75,all,0
130,52,76,all,0
131,52,78,all,0
132,52,79,all,0
133,52,80,all,0
134,52,96,all,0
135,52,97,all,0
136,53,59,all,0
137,53,60,all,0
138,53,76,all,0
139,53,77,all,0
140,53,78,all,0
141,53,80,all,0
142,53,81,all,0
143,53,82,all,0
144,53,83,all,0
145,53,97,all,0
146,53,98,all,0
147,54,59,all,0
148,54,83,all,0
149,54,84,all,0
150,54,98,all,0
151,55,58,all,0
152,55,59,all,0
153,55,84,all,0
154,55,85,all,0
155,55,98,all,0
156,55,99,all,0
157,56,58,all,0
158,56,85,all,0
159,56,86,all,0
160,56,99,all,0
161,57,58,all,0
162,57,86,all,0
163,57,87,all,0
164,57,88,all,0
165,57,99,all,0
166,58,57,all,0
167,58,58,all,0
168,58,88,all,0
169,58,98,all,0
170,58,99,all,0
171,59,57,all,0
172,59,88,all,0
173,59,89,all,0
174,59,98,all,0
175,60,57,all,0
176,60,89,all,0
177,60,90,all,0
178,60,97,all,0
179,60,98,all,0
180,61,57,all,0
181,61,90,all,0
182,61,97,all,0
185,62,90,all,0
186,62,91,all,0
187,62,97,all,0
189,63,59,all,0
190,63,91,all,0
191,63,97,all,0
192,64,59,all,0
193,64,91,all,0
194,64,92,all,0
195,64,97,all,0
196,65,59,all,0
197,65,92,all,0
198,65,97,all,0
200,66,59,all,0
201,66,92,all,0
202,66,97,all,0
203,66,98,all,0
206,67,92,all,0
207,67,98,all,0
209,68,57,all,0
210,68,91,all,0
211,68,92,all,0
212,68,98,all,0
216,69,56,all,0
217,69,91,all,0
218,69,98,all,0
219,69,99,all,0
227,70,91,all,0
228,70,99,all,0
229,71,91,all,0
230,71,99,all,0
231,72,90,all,0
232,72,91,all,0
233,72,99,all,0
234,72,100,all,0
235,73,90,all,0
236,73,100,all,0
237,73,101,all,0
238,74,90,all,0
239,74,101,all,0
240,74,102,all,0
241,75,90,all,0
242,75,102,all,0
243,76,90,all,0
244,76,102,all,0
245,76,103,all,0
246,77,90,all,0
247,77,102,all,0
248,77,103,all,0
249,78,84,all,0
250,78,85,all,0
251,78,86,all,0
252,78,87,all,0
253,78,88,all,0
254,78,89,all,0
255,78,90,all,0
256,78,101,all,0
257,78,102,all,0
258,79,84,all,0
259,79,99,all,0
260,79,100,all,0
261,79,101,all,0
262,80,84,all,0
