name,id,group,x,y,i,j
riv_g23,23,riv_g,1301605.5189178623,5047762.646976549,81,53
riv_g24,24,riv_g,1299824.6697228285,5044793.489386644,111,35
ter33,33,ter,1306224.8043935932,5039457.544839822,164,99
ter34,34,ter,1304909.5302529705,5046006.696919193,99,86
ter35,35,ter,1302774.185319731,5046161.228460413,97,65
h_flat1,1,h_flat,1303374.7510822054,5048356.278761859,75,71
h_flat2,2,h_flat,1306635.0479769127,5050170.575104497,57,103
h_flat3,3,h_flat,1303577.3101921284,5053415.388186218,25,73
h_flat4,4,h_flat,1306148.814466471,5053840.145588676,20,98
h_flat5,5,h_flat,1303390.555444376,5049920.910616722,60,71
mang16,16,mang,1299896.1364925639,5049283.011152898,66,36
riv_g25,25,riv_g,1302106.8281868217,5052467.557738492,34,58
h_flat6,6,h_flat,1307583.8056909926,5055140.247638093,7,113
riv_g26,26,riv_g,1302082.1736326106,5051054.029963726,48,58
h_flat7,7,h_flat,1307111.7026916596,5052200.46673454,37,108
h_flat8,8,h_flat,1305180.1779054708,5051903.703321962,40,89
ter36,36,ter,1302273.9465026031,5043952.692880155,119,60
ter37,37,ter,1305116.7430014259,5042308.476171327,136,88
ter38,38,ter,1305921.0094318737,5047650.350584909,82,96
riv_g27,27,riv_g,1299331.1587298887,5046529.916954395,93,30
sandy31,31,sandy,1306893.9237548586,5038653.721788968,172,106
sandy32,32,sandy,1309720.9793044168,5039070.109815648,168,134
mang17,17,mang,1299634.5272370968,5050285.192586858,56,33
mang18,18,mang,1298210.0418826682,5050241.36226826,56,19
mang19,19,mang,1298078.5509268749,5051698.720361637,42,18
mang20,20,mang,1296566.4049352503,5051128.926219866,47,3
mang21,21,mang,1296785.5565282395,5052126.065967966,37,5
hill11,11,hill,1308196.5030769454,5048732.392775522,71,119
hill12,12,hill,1308459.4849885318,5051370.430076103,45,122
hill13,13,hill,1308574.53957485,5054197.485625635,17,123
h_flat9,9,h_flat,1306495.3388363859,5048457.083586831,74,102
h_flat10,10,h_flat,1307489.739189562,5053729.049095624,21,112
ter14,14,ter,1309215.5579843349,5042650.936070129,132,129
ter15,15,ter,1308327.9940327378,5045658.791683876,102,120
mang22,22,mang,1300528.9367173137,5049841.847715015,60,42
riv_g28,28,riv_g,1299929.009231512,5047992.756149186,79,36
riv_g29,29,riv_g,1301128.8642031173,5049015.920148948,69,48
riv_g30,30,riv_g,1301211.0460504855,5050084.284164754,58,49
ter39,39,ter,1307462.8127636034,5042954.698980071,129,112
h_flat40,40,h_flat,1304822.8293609235,5053504.09522436,24,85
h_flat41,41,h_flat,1306852.7209909654,5054514.931947012,14,106
h_flat42,42,h_flat,1302645.0104056152,5053446.567931201,24,63
h_flat44,44,h_flat,1306634.9390954347,5053306.858790672,26,103
h_flat43,43,h_flat,1305352.9022764608,5053101.404172247,28,91
h_flat45,45,h_flat,1303316.8017542479,5052312.6374251675,36,70
h_flat46,46,h_flat,1303775.0108069552,5051137.258020098,47,75
h_flat51,51,h_flat,1304660.172538728,5047260.5096513815,86,84
riv_g60,60,riv_g,1301822.4115090268,5046551.069393948,93,55
riv_g61,61,riv_g,1301415.0101730796,5044830.14995762,110,51
riv_g62,62,riv_g,1303963.0245629903,5043615.848130866,123,77
sandy70,70,sandy,1307462.8127636034,5040678.870827539,152,112
ter80,80,ter,1306943.0248522225,5045371.010351894,105,106
ter81,81,ter,1303529.2826234251,5047843.515011434,80,72
ter82,82,ter,1300368.4101893536,5046368.441208868,95,41
ter83,83,ter,1307346.9141076887,5049238.6889830325,66,110
ter84,84,ter,1300456.2122014118,5044559.719760484,113,42
ter85,85,ter,1304277.3557661562,5044882.8311648555,110,80
sandy71,71,sandy,1309538.452328644,5042445.447310139,134,132
riv_g63,63,riv_g,1303471.333295468,5041283.826690617,146,72
ter86,86,ter,1309203.0486425853,5040188.057580141,157,129
ter87,87,ter,1307020.2906228346,5046868.034657478,90,107
ter88,88,ter,1301683.684329977,5046844.328114225,90,54
h_flat89,89,h_flat,1304960.455419965,5049720.72202923,62,87
