name,id,group,x,y,i,j
r1c2,1,r1c2,1301251.0,5055925.0,0,50
r1c3,2,r1c3,1306251.0,5055925.0,0,100
r2c2,5,r2c2,1301251.0,5050925.0,50,50
r2c3,6,r2c3,1306251.0,5050925.0,50,100
r2c1,4,r2c1,1296251.0,5050925.0,50,0
r5c3,18,r5c3,1306251.0,5035925.0,200,100
r4c4,15,r4c4,1311251.0,5040925.0,150,150
r3c2,9,r3c2,1301251.0,5045925.0,100,50
r3c3,10,r3c3,1306251.0,5045925.0,100,100
r2c4,7,r2c4,1311251.0,5050925.0,50,150
r3c1,8,r3c1,1296251.0,5045925.0,100,0
r4c2,13,r4c2,1301251.0,5040925.0,150,50
r4c3,14,r4c3,1306251.0,5040925.0,150,100
r3c4,11,r3c4,1311251.0,5045925.0,100,150
r1c1,0,r1c1,1296251.0,5055925.0,0,0
r1c4,3,r1c4,1311251.0,5055925.0,0,150
