,irrigated_mm_y,dryland_mm_y
1950-12-31,177.58817364608137,177.53300517606704
1951-12-31,131.42887501042202,131.43430516762737
1952-12-31,121.15956803124635,121.02488050254027
1953-12-31,196.8117671956495,196.77510272737425
1954-12-31,169.42515994732133,169.30699048866575
1955-12-31,205.87818917788167,205.71106697282866
1956-12-31,184.54274007607222,184.4042295773708
1957-12-31,125.87696714243067,125.67925674148609
1958-12-31,182.01015163180833,181.84643192541006
1959-12-31,130.63340040237404,130.5715944012521
1960-12-31,176.1090193853265,176.0210057737838
1961-12-31,147.93484514793565,147.82457589520288
1962-12-31,246.24312144305583,246.08656643123507
1963-12-31,155.82948978099694,155.72784784952313
1964-12-31,191.43031548618407,191.28961150777235
1965-12-31,178.03162535472265,177.8837407656356
1966-12-31,151.20733670400344,150.99917194908787
1967-12-31,198.64218783278395,198.4386635177753
1968-12-31,262.5719101997746,262.5923036653222
1969-12-31,242.33518957838763,242.12230915100386
1970-12-31,323.9427824468644,323.8814899659964
1971-12-31,144.2600639501398,144.16092052404628
1972-12-31,243.3602116115165,243.21605341579308
1973-12-31,219.80888758672856,219.6764852751472
1974-12-31,141.8286548351914,141.69000227335707
1975-12-31,274.3253554705167,274.1633717738568
1976-12-31,168.4582476878392,168.33271909636244
1977-12-31,128.75473657221147,128.64464252783458
1978-12-31,283.19328142984386,283.0040603217316
1979-12-31,188.8253425526286,188.66890482853927
1980-12-31,282.9272435756015,282.73913447518214
1981-12-31,192.85032622272826,192.69968594324797
1982-12-31,144.6471452712727,144.50218556962912
1983-12-31,356.2973225966849,356.65951206015046
1984-12-31,172.97786579159964,172.71557569884007
1985-12-31,145.94049834288833,145.7978662768445
1986-12-31,257.0486105439888,256.88020480307154
1987-12-31,271.15825793024834,270.98350389000166
1988-12-31,291.1235801297007,291.0086116873651
1989-12-31,151.31043025052452,151.13475587623398
1990-12-31,220.28442900378474,220.01733864390513
1991-12-31,249.54744130889478,249.40337582081202
1992-12-31,239.368260968954,239.26446612056444
1993-12-31,210.62187059486573,210.48821643498528
1994-12-31,243.46453919496645,243.1718198250023
1995-12-31,351.4776025144238,351.2165544316958
1996-12-31,173.95310153244165,173.82557685036227
1997-12-31,193.33982458726456,193.20005493053807
1998-12-31,320.0116821963261,320.40730492260855
1999-12-31,264.9608064101293,264.73475115757077
2000-12-31,259.635483556902,259.45235962519354
2001-12-31,133.51911756172913,133.36561654516606
2002-12-31,225.90357322000574,225.75360703725946
2003-12-31,223.84781890346738,227.8487467306409
2004-12-31,213.93988445642668,213.78699993955726
2005-12-31,127.2671891122301,127.12212790130863
2006-12-31,165.58627452143443,165.44185973570026
2007-12-31,212.82017812030384,212.6750960734183
2008-12-31,179.83973249402285,179.7202265593322
2009-12-31,249.5151984176024,249.36052453086748
2010-12-31,298.1408581450029,297.8949796973733
2011-12-31,181.48373023960647,181.3686969026634
2012-12-31,215.9445632635476,215.823134019054
2013-12-31,266.14957624041085,265.9794972535689
2014-12-31,253.36879191352006,253.2106754215464
2015-12-31,267.33446434714574,267.1796240384058
2016-12-31,252.37076143753293,252.2049407678174
2017-12-31,165.76315098066232,165.6331754652291
2018-12-31,235.27142656733994,235.08261033551295
2019-12-31,222.03985536628858,221.80600430578434
2020-12-31,212.85470398514258,212.73099232342062
