G40/0120_date,G40/0120_wl,G40/0129_date,G40/0129_wl
10-Dec-1996,312.998,11-Dec-1996,329.366
1-Apr-1997,314.458,2-Apr-1997,330.486
24-Sep-1997,312.708,25-Jun-1997,330.746
17-Dec-1997,313.098,24-Sep-1997,327.896
11-Mar-1998,314.888,17-Dec-1997,328.996
24-Jun-1998,315.008,11-Mar-1998,331.347
8-Sep-1998,314.403,24-Jun-1998,331.816
15-Dec-1998,314.228,8-Sep-1998,331.039
16-Dec-1998,314.228,15-Dec-1998,328.826
18-Jun-1999,314.578,16-Dec-1998,328.826
16-Dec-1999,313.578,18-Jun-1999,330.916
14-Mar-2000,314.848,16-Dec-1999,330.096
11-Dec-2000,313.878,11-Dec-2000,330.136
5-Apr-2001,314.348,5-Apr-2001,330.171
20-Jun-2001,313.739,20-Jun-2001,328.618
11-Sep-2001,312.333,11-Sep-2001,327.228
6-Dec-2001,312.388,6-Dec-2001,327.666
13-Jun-2002,315.118,5-Mar-2002,331.963
2-Oct-2002,313.396,13-Jun-2002,331.176
11-Dec-2002,313.343,2-Oct-2002,328.894
12-Mar-2003,314.1,11-Dec-2002,329.746
4-Jun-2003,313.948,12-Mar-2003,330.576
18-Sep-2003,312.268,4-Jun-2003,329.696
9-Dec-2003,312.071,18-Sep-2003,327.126
24-Mar-2004,314.038,9-Dec-2003,327.841
15-Jun-2004,314.608,24-Mar-2004,331.213
14-Sep-2004,314.178,15-Jun-2004,331.571
7-Dec-2004,313.125,14-Sep-2004,330.038
5-Apr-2005,313.863,7-Dec-2004,328.466
28-Jun-2005,313.736,5-Apr-2005,330.371
7-Sep-2005,312.468,28-Jun-2005,329.589
14-Dec-2005,312.488,14-Dec-2005,328.926
21-Mar-2006,313.143,21-Mar-2006,329.241
12-Sep-2006,312.174,26-Jun-2006,328.918
19-Dec-2006,312.444,12-Sep-2006,327.061
20-Mar-2007,313.943,19-Dec-2006,328.26
13-Jun-2007,313.957,20-Mar-2007,332.236
26-Sep-2007,312.404,13-Jun-2007,329.9
5-Dec-2007,312.29,26-Sep-2007,327.297
5-Mar-2008,313.223,6-Dec-2007,327.701
17-Jun-2008,313.063,5-Mar-2008,329.263
10-Sep-2008,311.596,17-Jun-2008,327.021
10-Dec-2008,311.83,10-Sep-2008,325.891
25-Mar-2009,313.946,10-Dec-2008,327.306
24-Jun-2009,315.018,1-Apr-2009,331.956
2-Sep-2009,314.098,24-Jun-2009,332.346
14-Dec-2009,313.428,2-Sep-2009,329.736
17-Mar-2010,313.858,14-Dec-2009,328.896
15-Jun-2010,313.958,17-Mar-2010,330.466
28-Sep-2010,313.088,15-Jun-2010,331.146
29-Mar-2011,314.248,28-Sep-2010,328.656
8-Jun-2011,314.358,29-Mar-2011,331.596
14-Sep-2011,312.958,8-Jun-2011,330.806
25-Jun-2013,315.33,14-Sep-2011,328.156
8-Dec-2015,313.52,25-Jun-2013,331.9
8-Jun-2016,314.375,8-Dec-2015,329.08
13-Sep-2016,314.015,8-Jun-2016,330.72
6-Dec-2016,313.385,13-Sep-2016,329.46
14-Dec-2016,313.31,6-Dec-2016,329.35
7-Mar-2017,314.07,14-Dec-2016,329.47
7-Jun-2017,314.15,7-Mar-2017,338.655
5-Sep-2017,313.33,7-Jun-2017,329.83
5-Dec-2017,313.43,5-Sep-2017,328.43
6-Mar-2018,314.3,5-Dec-2017,339.5
5-Jun-2018,314.16,6-Mar-2018,329.98
4-Sep-2018,313.8,5-Jun-2018,330.72
4-Dec-2018,313.37,4-Sep-2018,329.49
5-Jun-2019,314.8,4-Dec-2018,329.27
10-Sep-2019,314.6,6-Mar-2019,331.55
3-Dec-2019,313.47,5-Jun-2019,329.8
3-Jun-2020,316.42,10-Sep-2019,329.94
1-Dec-2020,313.99,3-Dec-2019,329.19
1-Mar-2021,314.5,3-Jun-2020,333.56
,,1-Dec-2020,330.6
,,1-Mar-2021,331.85
