,0
9-2011,8-2019
11-1992,10-2018
11-1993,10-2019
2-1997,3-2018
8-1997,7-2017
11-1997,10-2017
1-1989,1-2016
1-1977,1-2018
8-2002,9-2017
6-2004,5-2016
12-1996,11-2019
9-1997,10-2018
12-1997,12-2017
3-1998,4-2018
12-1998,11-2015
9-1998,8-2018
2-2000,1-2016
3-1995,2-2016
8-1995,8-2015
10-1992,10-2018
2-1993,2-2017
6-1993,7-2018
6-1988,5-2020
10-1989,10-2018
1-1996,1-2016
12-1987,11-2015
4-1996,5-2016
7-1996,8-2015
1-2002,1-2018
6-2003,7-2017
7-2003,7-2015
1-2004,12-2016
3-2005,3-2019
10-2003,10-2018
11-2003,10-2018
12-2003,11-2016
12-2004,11-2019
8-2004,8-2018
11-2004,10-2019
4-2005,5-2020
5-2006,4-2018
4-2006,3-2018
7-2007,8-2017
2-2007,2-2018
5-2007,4-2018
12-2008,12-2017
2-2009,3-2018
12-2007,11-2019
7-2006,8-2017
1-2009,2-2018
10-2009,11-2018
