name,zone,pumping_increase,percent_increase
Hawea Flat MAPC + 3424 $m^3/day$,Hawea Flat,3424.0,0.05
Hawea Flat MAPC + 6847 $m^3/day$,Hawea Flat,6847.0,0.1
Hawea Flat MAPC + 13694 $m^3/day$,Hawea Flat,13694.0,0.2
Hawea Flat MAPC + 20542 $m^3/day$,Hawea Flat,20542.0,0.3
Hawea Flat MAPC + 34236 $m^3/day$,Hawea Flat,34236.0,0.5
Hawea Flat MAPC + 51354 $m^3/day$,Hawea Flat,51354.0,0.75
Hawea Flat MAPC + 68472 $m^3/day$,Hawea Flat,68472.0,1.0
Hawea Flat MAPC + 102708 $m^3/day$,Hawea Flat,102708.0,1.5
Maungawera Flat MAPC + 500 $m^3/day$,Maungawera Flat,500.0,
Maungawera Flat MAPC + 1000 $m^3/day$,Maungawera Flat,1000.0,
Maungawera Flat MAPC + 2500 $m^3/day$,Maungawera Flat,2500.0,
Maungawera Flat MAPC + 5000 $m^3/day$,Maungawera Flat,5000.0,
Maungawera Flat MAPC + 7500 $m^3/day$,Maungawera Flat,7500.0,
Maungawera Flat MAPC + 10000 $m^3/day$,Maungawera Flat,10000.0,
reduction_0.5,Maungawera Valley,-2348.0,-0.5
reduction_0.6,Maungawera Valley,-1878.4,-0.4
reduction_0.7,Maungawera Valley,-1408.8000000000002,-0.30000000000000004
reduction_0.8,Maungawera Valley,-939.1999999999998,-0.19999999999999996
reduction_0.85,Maungawera Valley,-704.4000000000001,-0.15000000000000002
reduction_0.9,Maungawera Valley,-469.5999999999999,-0.09999999999999998
reduction_0.95,Maungawera Valley,-234.8000000000002,-0.050000000000000044
Te Awa MAPC + 500 $m^3/day$,Te Awa,500.0,
Te Awa MAPC + 1000 $m^3/day$,Te Awa,1000.0,
Te Awa MAPC + 2500 $m^3/day$,Te Awa,2500.0,
Te Awa MAPC + 5000 $m^3/day$,Te Awa,5000.0,
Te Awa MAPC + 7500 $m^3/day$,Te Awa,7500.0,
Te Awa MAPC + 10000 $m^3/day$,Te Awa,10000.0,
Terrace-Hill MAPC + 135 $m^3/day$,Terrace-Hill,135.0,0.1
Terrace-Hill MAPC + 336 $m^3/day$,Terrace-Hill,336.0,0.25
Terrace-Hill MAPC + 673 $m^3/day$,Terrace-Hill,673.0,0.5
Terrace-Hill MAPC + 1346 $m^3/day$,Terrace-Hill,1346.0,1.0
Terrace-Hill MAPC + 2019 $m^3/day$,Terrace-Hill,2019.0,1.5
Terrace-River MAPC + 1011 $m^3/day$,Terrace-River,1011.0,0.1
Terrace-River MAPC + 2527 $m^3/day$,Terrace-River,2527.0,0.25
Terrace-River MAPC + 5054 $m^3/day$,Terrace-River,5054.0,0.5
Terrace-River MAPC + 10109 $m^3/day$,Terrace-River,10109.0,1.0
Terrace-River MAPC + 15164 $m^3/day$,Terrace-River,15164.0,1.5
