,nztmx,nztmy,type
0,1299905.0,5047995.0,single_qc3
1,1300490.0,5048563.0,single_qc3
2,1297151.49,5051700.78,single_qc3
3,1299721.17,5049091.26,single_qc3
4,1299822.08,5047790.29,single_qc3
5,1299921.52,5048791.15,single_qc3
6,1296729.49,5051142.07,single_qc3
7,1297590.36,5050862.37,single_qc3
8,1300221.95,5048491.1,single_qc3
9,1306126.82,5047994.44,single_qc3
10,1307824.75,5053299.43,single_qc3
11,1307924.88,5053199.42,single_qc3
12,1305426.48,5047693.77,single_qc3
13,1307625.83,5051297.84,single_qc3
14,1305825.82,5049195.15,single_qc3
15,1305493.53,5046167.66,single_qc3
16,1304926.1,5047693.45,single_qc3
17,1305026.11,5047793.59,single_qc3
18,1305605.0,5047926.0,single_qc3
19,1304406.92,5048925.06,single_qc3
20,1305026.18,5047693.52,single_qc3
21,1306011.51,5051490.99,single_qc3
22,1305626.7,5047593.82,single_qc3
23,1305326.47,5047593.63,single_qc3
24,1305526.49,5047793.91,single_qc3
25,1305226.53,5047393.42,single_qc3
26,1302223.64,5048292.2,single_qc3
27,1305727.03,5047193.59,single_qc3
28,1304725.12,5048994.31,single_qc3
29,1300322.03,5048491.16,single_qc3
30,1305326.47,5047593.63,single_qc3
31,1303476.04,5047621.47,single_qc3
32,1306204.46,5050203.14,single_qc3
33,1305076.37,5049009.54,single_qc3
34,1305557.86,5053628.31,single_qc3
35,1305205.42,5047529.51,single_qc3
36,1306261.33,5052091.59,single_qc3
37,1299976.2,5047795.39,single_qc3
38,1305706.49,5048001.18,single_qc3
39,1305426.68,5047393.54,single_qc3
40,1306158.64,5053084.26,single_qc3
41,1302258.62,5051549.75,single_qc3
42,1305934.72,5047911.26,single_qc3
43,1301984.47,5049851.26,single_qc3
44,1305075.0,5047995.0,single_qc3
45,1305499.67,5047492.67,single_qc3
46,1306014.82,5047864.27,single_qc3
47,1300677.22,5047066.26,single_qc3
48,1305152.8,5048434.16,single_qc3
49,1304991.89,5048098.8,single_qc3
50,1306135.45,5051748.25,single_qc3
51,1304959.72,5048325.95,single_qc3
52,1305267.68,5048757.47,single_qc3
53,1305383.85,5039683.67,single_qc3
54,1305314.58,5048960.66,single_qc3
55,1306065.89,5047808.26,single_qc3
56,1306067.71,5048089.48,single_qc3
57,1306659.4,5049265.73,single_qc3
58,1300336.82,5047269.2,single_qc3
59,1305738.02,5048781.79,single_qc3
60,1303566.34,5048821.45,single_qc3
61,1304945.12,5047696.47,single_qc3
62,1305944.83,5050907.51,single_qc3
63,1305512.71,5048998.81,single_qc3
64,1305899.71,5047899.23,single_qc3
65,1300565.69,5047754.73,single_qc3
66,1305276.06,5048169.03,single_qc3
67,1302673.4,5050819.44,single_qc3
68,1306060.45,5046938.61,single_qc3
69,1305593.59,5047721.9,single_qc3
70,1302513.0,5053464.0,single_qc3
71,1302494.0,5053461.0,single_qc3
72,1302380.0,5053403.0,single_qc3
0,1297554.0,5051158.0,single_qc1
1,1300030.72,5048615.08,single_qc1
2,1298719.75,5050091.44,single_qc1
3,1299020.17,5049791.38,single_qc1
4,1297418.08,5051091.45,single_qc1
5,1298019.0,5050391.25,single_qc1
6,1299120.13,5049991.61,single_qc1
7,1298619.67,5050091.38,single_qc1
8,1297896.54,5050966.64,single_qc1
9,1297754.59,5050710.35,single_qc1
10,1298811.84,5050063.47,single_qc1
11,1298819.95,5049891.34,single_qc1
12,1298287.27,5050308.35,single_qc1
13,1296795.0,5051121.0,single_qc1
14,1311540.03,5034688.37,single_qc1
15,1300321.71,5048991.56,single_qc1
16,1310200.75,5036457.68,single_qc1
17,1310538.71,5035488.21,single_qc1
18,1307809.4417,5038606.5525,single_qc1
19,1308571.0,5038822.0,single_qc1
20,1308623.0,5038815.0,single_qc1
21,1306547.0,5040018.0,single_qc1
22,1307970.0,5038570.0,single_qc1
23,1310206.0,5036212.0,single_qc1
24,1310202.0,5036216.0,single_qc1
25,1299070.1,5049966.55,single_qc1
26,1298287.27,5050308.35,single_qc1
0,1305974.0,5050720.4,piezo_2011
1,1298878.54,5044812.0,piezo_2011
2,1304394.8,5046062.9,piezo_2011
3,1302409.5,5047236.5,piezo_2011
4,1302315.2,5045980.5,piezo_2011
5,1300366.8,5045734.0,piezo_2011
6,1304104.3,5052674.7,piezo_2011
7,1306434.0,5052765.2,piezo_2011
8,1300221.9,5048491.1,piezo_2011
9,1305531.3,5040688.5,piezo_2011
10,1308005.9,5053195.5,piezo_2011
11,1305624.9,5050395.9,piezo_2011
12,1307625.8,5051297.8,piezo_2011
13,1302759.6,5052244.6,piezo_2011
14,1305493.5,5046167.7,piezo_2011
15,1301187.4,5044342.4,piezo_2011
16,1301189.5,5044235.4,piezo_2011
17,1304406.9,5048925.1,piezo_2011
18,1306011.5,5051491.0,piezo_2011
19,1302236.8,5048025.0,piezo_2011
20,1303476.0,5047621.5,piezo_2011
21,1302469.6,5051892.1,piezo_2011
22,1304967.7,5053085.6,piezo_2011
23,1307835.4,5042978.8,piezo_2011
24,1305557.9,5053628.3,piezo_2011
25,1299976.2,5047795.4,piezo_2011
26,1302257.6,5051550.7,piezo_2011
27,1301984.5,5049851.3,piezo_2011
28,1302511.3,5047564.8,piezo_2011
29,1306137.4,5051748.3,piezo_2011
30,1303682.7,5051520.6,piezo_2011
31,1306067.7,5048089.5,piezo_2011
32,1306664.4,5049265.7,piezo_2011
33,1300336.8,5047269.2,piezo_2011
34,1305738.0,5048781.8,piezo_2011
35,1303566.3,5048821.5,piezo_2011
36,1304944.1,5047695.5,piezo_2011
37,1300563.7,5047749.7,piezo_2011
38,1302085.9,5052433.3,piezo_2011
39,1302670.4,5050812.4,piezo_2011
40,1306060.5,5046938.6,piezo_2011
41,1302496.5,5047324.6,piezo_2011
42,1302775.4,5047748.1,piezo_2011
43,1302352.54,5049033.18,piezo_2011
44,1302426.2,5053642.12,piezo_2011
45,1305381.5,5047623.7,piezo_2011
46,1305457.95,5042345.41,piezo_2011
47,1305597.819,5042338.604,piezo_2011
48,1302282.651,5043773.719,piezo_2011
49,1301091.512,5044175.333,piezo_2011
50,1305043.9,5042220.46,piezo_2011
51,1305072.7,5047002.0,piezo_2011
52,1303557.808,5043424.92,piezo_2011
0,1304406.92,5048925.06,mod_freq
1,1306011.51,5051490.99,mod_freq
0,1305561.0,5047533.0,high_freq
1,1305860.0,5052754.0,high_freq
2,1302748.0,5052499.0,high_freq
3,1302821.66,5052195.59,high_freq
4,1303483.0,5043295.0,high_freq
